868:109,S,108,95@1:142,867
867:109,S,108,95@1;95,TTD,95,-1@0.67:859,866
623:-1,TFD,-1,21@0.1;21,TTD,-1,21@0.55:07_cluster_AkerFH1893nogabecin|0ae4e5|895-1058|876|07_cluster_AkerFH1893nogabecin-338-Item3-Cond-Item4-A_bht_Fill_0,622
622:21,TTD,-1,21@0.55;21,S,19,'04'@1:614,621
621:21,S,19,'04'@1;'04',T,'04',29@0.5:04_cluster_AazureaDSM43854|eaed41|887-1050|472|04_cluster_AazureaDSM43854-157-Item3-Cond-Item4-A_bht_Fill_0,620
620:'04',T,'04',29@0.5;29,S,'45',27@1:45_cluster_WAC1376cluster143|ff21dc|872-1035|5926|45_cluster_WAC1376cluster143-2263-Item29-Cond-Item28-A_bht_Fill_0,619
619:29,S,'45',27@1;27,S,'44','46'@1:44_cluster_WAC1375|b413c5|894-1057|5730|44_cluster_WAC1375-2127-Item3-Cond-Item4-A_bht|tyr_Fill_0,46_cluster_WAC1416cluster068|92ab0d|896-1059|6070|46_cluster_WAC1416cluster068-2304-Item3-Cond-Item4-A_bht_Fill_0
614:21,S,19,'04'@1;19,T,6,19@0.5:608,613
613:19,T,6,19@0.5;19,S,'08','52'@1:08_cluster_AlurRistocetin|f97b18|884-1047|1074|08_cluster_AlurRistocetin-431-Item30-Cond-Item29-A_bht_Fill_0,612
612:19,S,'08','52'@1;'52',T,'52','55'@0.5:52_cluster_WAC4182cluster089|7af037|886-1049|7048|52_cluster_WAC4182cluster089-2743-Item31-Cond-Item30-A_bht_Fill_0,55_cluster_WAC05977|c79709|883-1046|7413|55_cluster_WAC05977-2902-Item3-Cond-Item4-A_bht_Fill_0
608:19,T,6,19@0.5;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|fe5f01|886-1049|754|06_cluster_Ajap-Ristocetin-284-Item3-Cond-Item4-A_bht_Fill_0,607
607:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|c876dd|885-1048|7162|53_cluster_WAC4197cluster073-2787-Item3-Cond-Item4-A_bht_Fill_0,606
606:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|106ba6|883-1046|3277|25_cluster_JPLW01000007-1281-Item3-Cond-Item4-A_bht_Fill_0,27_cluster_KF882511-Ristocetin|106ba6|883-1046|3581|27_cluster_KF882511-Ristocetin-1414-Item3-Cond-Item4-A_bht_Fill_0
07_cluster_AkerFH1893nogabecin|0ae4e5|895-1058|876|07_cluster_AkerFH1893nogabecin-338-Item3-Cond-Item4-A_bht_Fill_0:21,TTD,-1,21@0.55;-1,TLFD,-1,'07'@1
600:-1,TFD,-1,21@0.1;-1,TFD,'11',-1@0.11:11_cluster_AregGY080|d0f836|895-1058|1462|11_cluster_AregGY080-601-Item3-Cond-Item4-A_bht_Fill_0,599
599:-1,TFD,'11',-1@0.11;-1,TFD,-1,'03'@0.04:591,598
598:-1,TFD,-1,'03'@0.04;'03',T,'03','09'@0.082:03_cluster_AalbaDSM44262|b89e0c|892-1055|348|03_cluster_AalbaDSM44262-95-Item3-Cond-Item4-A_bht_Fill_0,597
597:'03',T,'03','09'@0.082;'09',T,'09',9@0.21:09_cluster_AOHO0100074|5a50ae|893-1056|1208|09_cluster_AOHO0100074-461-Item3-Cond-Item4-A_bht_Fill_0,596
596:'09',T,'09',9@0.21;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|894-1057|5199|40_cluster_Vancomycin-1955-Item3-Cond-Item4-A_bht|tyr_Fill_0,51_cluster_WAC4169cluster051|ba280c|896-1059|6819|51_cluster_WAC4169cluster051-2640-Item30-Cond-Item29-A_bht_Fill_0
591:-1,TFD,-1,'03'@0.04;-1,TFD,39,-1@0.059:587,590
590:-1,TFD,39,-1@0.059;-1,TLFD,-1,35@0.32;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|894-1057|609|05_cluster_AbalhimycinaFH1894-230-Item3-Cond-Item4-A_bht_Fill_0,14_cluster_Balhimycin|c600a7|894-1057|1879|14_cluster_Balhimycin-708-Item3-Cond-Item4-A_bht_Fill_0
587:-1,TFD,39,-1@0.059;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|891-1054|2379|18_cluster_Chloroeremomycin-1-960-Item3-Cond-Item4-A_bht_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|891-1054|3439|26_cluster_KaridNRRLB16535chlor-1354-Item3-Cond-Item4-A_bht_Fill_0
583:43,TTD,43,-1@0.97;43,TTD,-1,43@0.78:571,582
582:43,TTD,-1,43@0.78;43,T,102,43@0.5:576,581
581:43,T,102,43@0.5;43,TTD,-1,43@1:02_cluster_A47934|96a3b7|892-1055|216|02_cluster_A47934-63-Item6-Cond-Item7-A_tyr_Fill_0,580
580:43,TTD,-1,43@1;43,S,'39','60'@1:39_cluster_UK68597|94efaf|892-1055|5090|39_cluster_UK68597-1909-Item3-Cond-Item4-A_tyr_Fill_0,60_cluster_AsubtropicusNRRLB24665|9b0aff|891-1054|8050|60_cluster_AsubtropicusNRRLB24665-3098-Item3-Cond-Item4-A_tyr_Fill_0
02_cluster_A47934|96a3b7|892-1055|216|02_cluster_A47934-63-Item6-Cond-Item7-A_tyr_Fill_0:43,TTD,-1,43@1;-1,TLFD,-1,'02'@1
576:43,T,102,43@0.5;102,S,'48',100@1:48_cluster_WAC1424cluster109|3b5f08|879-1043|6356|48_cluster_WAC1424cluster109-2485-Item28-Cond-Item27-A_tyr_Fill_0,575
575:102,S,'48',100@1;100,S,98,'28'@1:01_cluster_A40926|3799f5|899-1062|106|01_cluster_A40926-14-Item11-Cond-Item10-A_tyr_Fill_0,28_cluster_NcoxDSM45129|12d4f1|893-1058|3701|28_cluster_NcoxDSM45129-1493-Item6-Cond-Item7-A_tyr_Fill_0
01_cluster_A40926|3799f5|899-1062|106|01_cluster_A40926-14-Item11-Cond-Item10-A_tyr_Fill_0:100,S,98,'28'@1;98,SL,'71','01'@1
571:43,TTD,-1,43@0.78;-1,TFD,-1,'47'@0.11:29_cluster_pekiskomycin|48a09c|924-1087|3807|29_cluster_pekiskomycin-1526-Item3-Cond-Item4-A_tyr_Fill_0,47_cluster_WAC1420|6cb684|912-1075|6261|47_cluster_WAC1420-2415-Item3-Cond-Item4-A_tyr_Fill_0
29_cluster_pekiskomycin|48a09c|924-1087|3807|29_cluster_pekiskomycin-1526-Item3-Cond-Item4-A_tyr_Fill_0:-1,TFD,-1,'47'@0.11;-1,TLFD,-1,'29'@0.44
71_cluster_Kistamicin|492fcd|490-656|9840|71_cluster_Kistamicin-3710-Item2-Cond-Item3-A_no_call_Fill_0:45,TTD,-1,45@0.67;-1,TLFD,-1,'71'@1
566:-1,DD,-1,-1@0.5;-1,TLFD,-1,53@1;53,S,'61',51@1:61_cluster_FNTE|5a217a|890-1066|8232|61_cluster_FNTE-3135-Item3-Cond-Item4-A_trp_Fill_0,565
565:53,S,'61',51@1;51,S,'54','43'@1:54_cluster_WAC05379-1|edff73|897-1073|7238|54_cluster_WAC05379-1-2847-Item3-Cond-Item4-A_trp_Fill_0,43_cluster_WAC01325|536b71|892-1068|5607|43_cluster_WAC01325-2078-Item3-Cond-Item4-A_trp_Fill_0
561:'42',TTD,'42',-1@0.83;'42',TTD,-1,'42'@0.75:535,560
560:'42',TTD,-1,'42'@0.75;'42',TTD,-1,'42'@0.5:544,559
559:'42',TTD,-1,'42'@0.5;'42',T,76,'42'@0.5:547,558
558:'42',T,76,'42'@0.5;'42',T,'42',53@0.5:42_cluster_WAC00631|c8684d|1851-2032|5467|42_cluster_WAC00631-2042-Item20-Cond-Item21-A_hpg_Fill_0,557
557:'42',T,'42',53@0.5;53,S,'61',51@1:551,556
556:53,S,'61',51@1;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1819-2076|5566|43_cluster_WAC01325-2080-Item18-Cond-Item19-A_hpg_Fill_0,555
555:51,S,'43','54'@1;'54',T,'61','54'@0.5:61_cluster_FNTE|83000e|1821-1999|8191|61_cluster_FNTE-3137-Item18-Cond-Item19-A_hpg|hpg2cl_Fill_0,54_cluster_WAC05379-3|ba39af|1826-2084|7271|54_cluster_WAC05379-1-2851-Item7-Cond-Item8-A_hpg|hpg2cl_Fill_0
551:53,S,'61',51@1;'61',T,'43','61'@0.5:43_cluster_WAC01325|e1a992|313-569|5618|43_cluster_WAC01325-2079-Item8-Cond-Item9-A_hpg_Fill_0,61_cluster_FNTE|890b38|313-572|8170|61_cluster_FNTE-3136-Item8-Cond-Item9-A_hpg|hpg2cl_Fill_0
547:'42',T,76,'42'@0.5;76,S,'57','59'@1:57_cluster_WAC06725|451761|1827-2010|7717|57_cluster_WAC06725-2978-Item20-Cond-Item21-A_hpg|hpg2cl_Fill_0,59_cluster_WAC06783|42685d|1827-2010|7965|59_cluster_WAC06783-3059-Item20-Cond-Item21-A_hpg_Fill_0
544:'42',TTD,-1,'42'@0.5;-1,TLFD,-1,66@0.5;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|3cb15a|800-981|4666|35_cluster_SspNRRLS1521-1-1759-Item2-Cond-Item3-A_tyr_Fill_0,543
543:66,S,'35','50'@1;'50',T,'13','50'@0.5:13_cluster_AspOK074cluster1|ff28ca|1856-2037|1717|13_cluster_AspOK074cluster1-690-Item22-Cond-Item23-A_tyr_Fill_0,542
542:'50',T,'13','50'@0.5;'50',T,'50',69@0.5:50_cluster_WAC01529|9b5162|1874-2061|6691|50_cluster_WAC01529-2567-Item23-Cond-Item24-A_tyr_Fill_0,541
541:'50',T,'50',69@0.5;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|dfb632|1838-2037|4120|31_cluster_SluteocolorNRBC13826-1610-Item27-Cond-Item28-A_tyr_Fill_0,32_cluster_Ssilaceus-2|cb43ed|1838-2037|4251|32_cluster_Ssilaceus-1-1654-Item10-Cond-Item11-A_tyr_Fill_0
535:'42',TTD,-1,'42'@0.75;-1,TFD,-1,45@0.25:71_cluster_Kistamicin|8e9844|1342-1512|9798|71_cluster_Kistamicin-3712-Item14-Cond-Item15-A_no_call_Fill_0,534
534:-1,TFD,-1,45@0.25;45,S,'10',43@1:10_cluster_ArectNRRLB16090|9ee539|1763-1935|1321|10_cluster_ArectNRRLB16090-520-Item12-Cond-Item13-A_hpg_Fill_0,533
533:45,S,'10',43@1;43,TTD,-1,43@0.75:529,532
532:43,TTD,-1,43@0.75;43,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|294514|1798-1973|8080|60_cluster_AsubtropicusNRRLB24665-3100-Item17-Cond-Item18-A_hpg_Fill_0,39_cluster_UK68597|e5e4cd|1803-1980|5121|39_cluster_UK68597-1912-Item17-Cond-Item18-A_hpg|tyr_Fill_0
529:43,TTD,-1,43@0.75;-1,TFD,-1,102@0.25:02_cluster_A47934|3c365b|1798-1975|172|02_cluster_A47934-65-Item20-Cond-Item21-A_hpg_Fill_0,528
528:-1,TFD,-1,102@0.25;102,S,'48',100@1:522,527
527:102,S,'48',100@1;100,TTD,-1,100@1:04_cluster_AazureaDSM43854|40c465|1830-2006|498|04_cluster_AazureaDSM43854-159-Item15-Cond-Item16-A_hpg_Fill_0,526
526:100,TTD,-1,100@1;100,S,98,'28'@1:01_cluster_A40926|2105e4|1794-1970|68|01_cluster_A40926-23-Item19-Cond-Item20-A_tyr_Fill_0,28_cluster_NcoxDSM45129|26d899|1799-1971|3738|28_cluster_NcoxDSM45129-1495-Item19-Cond-Item20-A_hpg_Fill_0
01_cluster_A40926|2105e4|1794-1970|68|01_cluster_A40926-23-Item19-Cond-Item20-A_tyr_Fill_0:100,S,98,'28'@1;98,SL,'71','01'@1
04_cluster_AazureaDSM43854|40c465|1830-2006|498|04_cluster_AazureaDSM43854-159-Item15-Cond-Item16-A_hpg_Fill_0:100,TTD,-1,100@1;-1,TLFD,-1,'04'@1
522:102,S,'48',100@1;'48',TTD,'48',-1@0.6:48_cluster_WAC1424cluster109|2a4bff|1798-1975|6337|48_cluster_WAC1424cluster109-2483-Item15-Cond-Item14-A_hpg_Fill_0,521
521:'48',TTD,'48',-1@0.6;-1,TFD,-1,29@0.044:481,520
520:-1,TFD,-1,29@0.044;29,T,29,11@0.17:500,519
519:29,T,29,11@0.17;11,S,'07',9@1:07_cluster_AkerFH1893nogabecin|5b689a|1790-1967|904|07_cluster_AkerFH1893nogabecin-340-Item16-Cond-Item17-A_hpg_Fill_0,518
518:11,S,'07',9@1;9,T,35,9@0.5:504,517
517:9,T,35,9@0.5;9,T,39,9@0.5:507,516
516:9,T,39,9@0.5;9,T,'03',9@0.5:03_cluster_AalbaDSM44262|311e81|1790-1967|296|03_cluster_AalbaDSM44262-96-Item16-Cond-Item17-A_hpg_Fill_0,515
515:9,T,'03',9@0.5;9,T,'11',9@0.5:11_cluster_AregGY080|ac6242|1795-1972|1504|11_cluster_AregGY080-602-Item16-Cond-Item17-A_hpg_Fill_0,514
514:9,T,'11',9@0.5;9,T,'09',9@0.5:09_cluster_AOHO0100074|ca1b25|1795-1972|1189|09_cluster_AOHO0100074-462-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,513
513:9,T,'09',9@0.5;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|1791-1968|5223|40_cluster_Vancomycin-1956-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,51_cluster_WAC4169cluster051|66fb6a|1791-1968|6871|51_cluster_WAC4169cluster051-2638-Item18-Cond-Item17-A_hpg_Fill_0
507:9,T,39,9@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|1803-1980|2404|18_cluster_Chloroeremomycin-1-961-Item15-Cond-Item16-A_hpg_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|1803-1980|3464|26_cluster_KaridNRRLB16535chlor-1355-Item15-Cond-Item16-A_hpg_Fill_0
504:9,T,35,9@0.5;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|1802-1979|634|05_cluster_AbalhimycinaFH1894-231-Item15-Cond-Item16-A_hpg_Fill_0,14_cluster_Balhimycin|69cf6a|1802-1979|1847|14_cluster_Balhimycin-709-Item15-Cond-Item16-A_hpg_Fill_0
500:29,T,29,11@0.17;29,S,'45',27@0.87:45_cluster_WAC1376cluster143|89a266|1767-1944|5904|45_cluster_WAC1376cluster143-2261-Item17-Cond-Item16-A_hpg_Fill_0,499
499:29,S,'45',27@0.87;27,TTD,27,-1@0.56:485,498
498:27,TTD,27,-1@0.56;-1,TFD,-1,19@0.079:492,497
497:-1,TFD,-1,19@0.079;19,S,'08','52'@1:08_cluster_AlurRistocetin|b5adf0|1764-1941|1052|08_cluster_AlurRistocetin-429-Item18-Cond-Item17-A_hpg_Fill_0,496
496:19,S,'08','52'@1;'52',T,'52','55'@0.5:52_cluster_WAC4182cluster089|6721ad|1762-1939|6999|52_cluster_WAC4182cluster089-2741-Item18-Cond-Item17-A_hpg_Fill_0,55_cluster_WAC05977|7779c3|1758-1935|7435|55_cluster_WAC05977-2904-Item15-Cond-Item16-A_hpg_Fill_0
492:-1,TFD,-1,19@0.079;-1,TLFD,-1,6@0.32;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|1760-1937|782|06_cluster_Ajap-Ristocetin-286-Item16-Cond-Item17-A_hpg_Fill_0,491
491:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|1760-1937|7184|53_cluster_WAC4197cluster073-2789-Item15-Cond-Item16-A_hpg_Fill_0,490
490:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|1760-1937|3305|25_cluster_JPLW01000007-1283-Item16-Cond-Item17-A_hpg_Fill_0,27_cluster_KF882511-Ristocetin|f68926|1760-1937|3609|27_cluster_KF882511-Ristocetin-1416-Item16-Cond-Item17-A_hpg_Fill_0
485:27,TTD,27,-1@0.56;27,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|1774-1951|5684|44_cluster_WAC1375-2129-Item15-Cond-Item16-A_hpg_Fill_0,46_cluster_WAC1416cluster068|d6e140|1771-1948|6095|46_cluster_WAC1416cluster068-2306-Item15-Cond-Item16-A_hpg_Fill_0
481:-1,TFD,-1,29@0.044;-1,TFD,'29',-1@0.068:29_cluster_pekiskomycin|61ac15|1811-1988|3832|29_cluster_pekiskomycin-1529-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,47_cluster_WAC1420|713508|1817-1994|6217|47_cluster_WAC1420-2418-Item15-Cond-Item16-A_tyr_Fill_0
47_cluster_WAC1420|713508|1817-1994|6217|47_cluster_WAC1420-2418-Item15-Cond-Item16-A_tyr_Fill_0:-1,TFD,'29',-1@0.068;-1,TLFD,-1,'47'@0.34
02_cluster_A47934|3c365b|1798-1975|172|02_cluster_A47934-65-Item20-Cond-Item21-A_hpg_Fill_0:-1,TFD,-1,102@0.25;-1,TLFD,-1,'02'@1
71_cluster_Kistamicin|8e9844|1342-1512|9798|71_cluster_Kistamicin-3712-Item14-Cond-Item15-A_no_call_Fill_0:-1,TFD,-1,45@0.25;-1,TLFD,-1,'71'@1
474:79,S,77,'42'@0.99;77,S,76,73@1:362,473
473:77,S,76,73@1;73,TTD,-1,73@1:369,472
472:73,TTD,-1,73@1;73,TTD,73,-1@0.67:468,471
471:73,TTD,73,-1@0.67;-1,TFD,'42',-1@0.11:42_cluster_WAC00631|c8684d|3388-3568|5475|42_cluster_WAC00631-2042-Item24-Cond-Item25-A_tyr_Fill_0,42_cluster_WAC00631|27de41|1381-1557|5433|42_cluster_WAC00631-2040-Item4-Cond-Item5-A_trp_Fill_0
42_cluster_WAC00631|27de41|1381-1557|5433|42_cluster_WAC00631-2040-Item4-Cond-Item5-A_trp_Fill_0:-1,TFD,'42',-1@0.11;-1,TLFD,-1,'42'@0.44
468:73,TTD,73,-1@0.67;73,S,'47',71@1:432,467
467:73,S,'47',71@1;71,T,71,92@0.5:439,466
466:71,T,71,92@0.5;92,S,90,'62'@0.5:452,465
465:92,S,90,'62'@0.5;'62',TTD,-1,'62'@0.5:459,464
464:'62',TTD,-1,'62'@0.5;'62',T,'62',89@0.25:62_cluster_SspCNQ329.cluster001|f73c1e|3367-3545|8317|62_cluster_SspCNQ329.cluster001-3216-Item30-Cond-Item31-A_tyr_Fill_0,463
463:'62',T,'62',89@0.25;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|3369-3547|4421|33_cluster_SspCNQ509-1694-Item32-Cond-Item33-A_tyr_Fill_0,58_cluster_WAC06738cluster004|d9a549|3360-3538|7882|58_cluster_WAC06738cluster004-3023-Item29-Cond-Item30-A_tyr_Fill_0
459:'62',TTD,-1,'62'@0.5;-1,TLFD,-1,84@0.5;84,S,'65',82@0.7:65_cluster_SspCNT371.cluster001|f326c5|3363-3541|8809|65_cluster_SspCNT371.cluster001-3384-Item32-Cond-Item33-A_tyr_Fill_0,458
458:84,S,'65',82@0.7;82,T,'63',82@0.35:63_cluster_SspCNQ525.cluster001|4ed3e5|3368-3547|8508|63_cluster_SspCNQ525.cluster001-3272-Item32-Cond-Item33-A_tyr_Fill_0,457
457:82,T,'63',82@0.35;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|3374-3553|8968|66_cluster_SspCNY243.cluster001-3438-Item32-Cond-Item33-A_tyr_Fill_0,64_cluster_SspCNQ865.cluster001|180773|3365-3544|8617|64_cluster_SspCNQ865.cluster001-3328-Item32-Cond-Item33-A_tyr_Fill_0
452:92,S,90,'62'@0.5;90,S,86,89@0.5:446,451
451:90,S,86,89@0.5;89,T,'62',89@0.25:62_cluster_SspCNQ329.cluster001|200519|311-489|8373|62_cluster_SspCNQ329.cluster001-3214-Item13-Cond-Item14-A_nme-fhorn_Fill_0,450
450:89,T,'62',89@0.25;89,S,'33','58'@1:33_cluster_SspCNQ509|646e66|311-489|4383|33_cluster_SspCNQ509-1692-Item14-Cond-Item15-A_trp_Fill_0,58_cluster_WAC06738cluster004|9587f7|297-475|7844|58_cluster_WAC06738cluster004-3021-Item11-Cond-Item12-A_trp_Fill_0
446:90,S,86,89@0.5;86,SL,'63',84@0.2;84,S,'65',82@0.7:65_cluster_SspCNT371.cluster001|19b0b6|311-489|8771|65_cluster_SspCNT371.cluster001-3382-Item14-Cond-Item15-A_d-trp_Fill_0,445
445:84,S,'65',82@0.7;82,T,'63',82@0.35:63_cluster_SspCNQ525.cluster001|a42d5d|311-489|8470|63_cluster_SspCNQ525.cluster001-3270-Item14-Cond-Item15-A_nme-fhorn_Fill_0,444
444:82,T,'63',82@0.35;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|ca1de8|325-503|8930|66_cluster_SspCNY243.cluster001-3436-Item14-Cond-Item15-A_d-trp_Fill_0,64_cluster_SspCNQ865.cluster001|e38985|311-489|8674|64_cluster_SspCNQ865.cluster001-3326-Item14-Cond-Item15-A_nme-fhorn_Fill_0
439:71,T,71,92@0.5;71,S,63,70@1:13_cluster_AspOK074cluster1|ff28ca|3400-3580|1725|13_cluster_AspOK074cluster1-690-Item26-Cond-Item27-A_tyr_Fill_0,438
438:71,S,63,70@1;70,S,69,66@1:31_cluster_SluteocolorNRBC13826|dfb632|3385-3565|4128|31_cluster_SluteocolorNRBC13826-1610-Item31-Cond-Item32-A_tyr_Fill_0,437
437:70,S,69,66@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|3cb15a|2323-2503|4674|35_cluster_SspNRRLS1521-1-1759-Item6-Cond-Item7-A_tyr_Fill_0,50_cluster_WAC01529|9b5162|3439-3619|6699|50_cluster_WAC01529-2567-Item27-Cond-Item28-A_tyr_Fill_0
31_cluster_SluteocolorNRBC13826|dfb632|3385-3565|4128|31_cluster_SluteocolorNRBC13826-1610-Item31-Cond-Item32-A_tyr_Fill_0:70,S,69,66@1;69,SL,'32','31'@1
13_cluster_AspOK074cluster1|ff28ca|3400-3580|1725|13_cluster_AspOK074cluster1-690-Item26-Cond-Item27-A_tyr_Fill_0:71,S,63,70@1;63,SL,61,'13'@1
432:73,S,'47',71@1;'47',T,76,'47'@0.5:372,431
431:'47',T,76,'47'@0.5;'47',TTD,'47',-1@1:427,430
430:'47',TTD,'47',-1@1;-1,TFD,'02',-1@0.14:02_cluster_A47934|3c365b|3309-3487|180|02_cluster_A47934-65-Item24-Cond-Item25-A_bht_Fill_0,48_cluster_WAC1424cluster109|2a4bff|3324-3503|6345|48_cluster_WAC1424cluster109-2483-Item11-Cond-Item10-A_tyr_Fill_0
48_cluster_WAC1424cluster109|2a4bff|3324-3503|6345|48_cluster_WAC1424cluster109-2483-Item11-Cond-Item10-A_tyr_Fill_0:-1,TFD,'02',-1@0.14;-1,TLFD,-1,'48'@0.43
427:'47',TTD,'47',-1@1;'47',T,'47',43@0.5:421,426
426:'47',T,'47',43@0.5;43,S,'39','60'@1:39_cluster_UK68597|e5e4cd|3317-3499|5129|39_cluster_UK68597-1912-Item21-Cond-Item22-A_bht|tyr_Fill_0,425
425:43,S,'39','60'@1;'60',T,'60','10'@0.5:60_cluster_AsubtropicusNRRLB24665|294514|3308-3486|8088|60_cluster_AsubtropicusNRRLB24665-3100-Item21-Cond-Item22-A_bht_Fill_0,10_cluster_ArectNRRLB16090|9ee539|3270-3448|1329|10_cluster_ArectNRRLB16090-520-Item16-Cond-Item17-A_bht_Fill_0
421:'47',T,'47',43@0.5;'47',TTD,-1,'47'@0.81:07_cluster_AkerFH1893nogabecin|5b689a|3304-3482|912|07_cluster_AkerFH1893nogabecin-340-Item20-Cond-Item21-A_bht_Fill_0,420
420:'47',TTD,-1,'47'@0.81;'47',TTD,'47',-1@0.57:398,419
419:'47',TTD,'47',-1@0.57;-1,TFD,-1,35@0.046:401,418
418:-1,TFD,-1,35@0.046;35,T,35,39@0.087:404,417
417:35,T,35,39@0.087;39,T,39,'03'@0.088:407,416
416:39,T,39,'03'@0.088;'03',T,'03','11'@0.085:03_cluster_AalbaDSM44262|311e81|3287-3467|304|03_cluster_AalbaDSM44262-96-Item20-Cond-Item21-A_bht_Fill_0,415
415:'03',T,'03','11'@0.085;'11',T,'11','09'@0.083:11_cluster_AregGY080|ac6242|3302-3482|1512|11_cluster_AregGY080-602-Item20-Cond-Item21-A_bht_Fill_0,414
414:'11',T,'11','09'@0.083;'09',T,'09',9@0.2:09_cluster_AOHO0100074|ca1b25|3296-3476|1197|09_cluster_AOHO0100074-462-Item19-Cond-Item20-A_bht|tyr_Fill_0,413
413:'09',T,'09',9@0.2;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|3289-3469|5231|40_cluster_Vancomycin-1956-Item19-Cond-Item20-A_bht|tyr_Fill_0,51_cluster_WAC4169cluster051|66fb6a|3290-3470|6879|51_cluster_WAC4169cluster051-2638-Item14-Cond-Item13-A_bht_Fill_0
407:39,T,39,'03'@0.088;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|3316-3497|2412|18_cluster_Chloroeremomycin-1-961-Item19-Cond-Item20-A_bht_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|3316-3497|3472|26_cluster_KaridNRRLB16535chlor-1355-Item19-Cond-Item20-A_bht_Fill_0
404:35,T,35,39@0.087;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|3316-3496|642|05_cluster_AbalhimycinaFH1894-231-Item19-Cond-Item20-A_bht_Fill_0,14_cluster_Balhimycin|69cf6a|3316-3496|1855|14_cluster_Balhimycin-709-Item19-Cond-Item20-A_bht_Fill_0
401:-1,TFD,-1,35@0.046;-1,TFD,'01',-1@0.059:01_cluster_A40926|2105e4|3311-3490|76|01_cluster_A40926-23-Item23-Cond-Item24-A_bht|tyr_Fill_0,28_cluster_NcoxDSM45129|26d899|3312-3491|3746|28_cluster_NcoxDSM45129-1495-Item23-Cond-Item24-A_tyr_Fill_0
28_cluster_NcoxDSM45129|26d899|3312-3491|3746|28_cluster_NcoxDSM45129-1495-Item23-Cond-Item24-A_tyr_Fill_0:-1,TFD,'01',-1@0.059;-1,TLFD,-1,'28'@0.28
398:'47',TTD,'47',-1@0.57;'47',T,'47',21@0.5:376,397
397:'47',T,'47',21@0.5;21,S,'04',19@1:383,396
396:21,S,'04',19@1;19,S,'08','52'@1:386,395
395:19,S,'08','52'@1;'52',TTD,'52',-1@0.64:52_cluster_WAC4182cluster089|6721ad|3238-3417|7007|52_cluster_WAC4182cluster089-2741-Item14-Cond-Item13-A_bht_Fill_0,394
394:'52',TTD,'52',-1@0.64;-1,TFD,'06',-1@0.091:06_cluster_Ajap-Ristocetin|b7eff3|3239-3418|790|06_cluster_Ajap-Ristocetin-286-Item20-Cond-Item21-A_bht_Fill_0,393
393:-1,TFD,'06',-1@0.091;-1,TLFD,-1,4@0.36;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|3239-3418|7192|53_cluster_WAC4197cluster073-2789-Item19-Cond-Item20-A_bht_Fill_0,392
392:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|3239-3418|3313|25_cluster_JPLW01000007-1283-Item20-Cond-Item21-A_bht_Fill_0,27_cluster_KF882511-Ristocetin|f68926|3239-3418|3617|27_cluster_KF882511-Ristocetin-1416-Item20-Cond-Item21-A_bht_Fill_0
386:19,S,'08','52'@1;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|b5adf0|3239-3418|1060|08_cluster_AlurRistocetin-429-Item14-Cond-Item13-A_bht|tyr_Fill_0,55_cluster_WAC05977|7779c3|3233-3412|7443|55_cluster_WAC05977-2904-Item19-Cond-Item20-A_bht_Fill_0
383:21,S,'04',19@1;'04',T,'04',29@0.5:04_cluster_AazureaDSM43854|40c465|3343-3522|506|04_cluster_AazureaDSM43854-159-Item19-Cond-Item20-A_bht_Fill_0,382
