1064:112,D,112,112@1:318,1063
1063:112,D,112,112@1;112,D,112,112@0.58:377,1062
770:37,S,35,'63'@0.5;'63',T,'63',33@0.5:63_cluster_SspCNQ525.cluster001|286c95|486-877|8521|63_cluster_SspCNQ525.cluster001-3273-Item39-A_no_call_0,769
769:'63',T,'63',33@0.5;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|fe4486|486-877|8981|66_cluster_SspCNY243.cluster001-3439-Item39-A_no_call_0,64_cluster_SspCNQ865.cluster001|c6a231|486-877|8630|64_cluster_SspCNQ865.cluster001-3329-Item39-A_no_call_0
65_cluster_SspCNT371.cluster001|25c062|486-877|8822|65_cluster_SspCNT371.cluster001-3385-Item39-A_no_call_0:37,S,35,'63'@0.5;35,SL,33,'65'@0.5
764:43,S,'62',41@0.67;'62',T,'62',40@0.67:756,763
763:'62',T,'62',40@0.67;40,S,'58','33'@1:58_cluster_WAC06738cluster004|1bd006|1126-1523|7829|58_cluster_WAC06738cluster004-3020-Item4-A_nrp_0,762
762:40,S,'58','33'@1;'33',D,'33','33'@1:33_cluster_SspCNQ509|c57782|1118-1515|4365|33_cluster_SspCNQ509-1691-Item6-A_nrp_0,761
761:'33',D,'33','33'@1;'33',D,'33','33'@1:33_cluster_SspCNQ509|68d264|488-885|4393|33_cluster_SspCNQ509-1693-Item19-A_nrp_0,33_cluster_SspCNQ509|436ed9|2022-2419|4414|33_cluster_SspCNQ509-1694-Item29-A_nrp_0
756:'62',T,'62',40@0.67;'62',D,'62','62'@1:62_cluster_SspCNQ329.cluster001|d9cd3f|488-879|8383|62_cluster_SspCNQ329.cluster001-3215-Item18-A_no_call_0,755
755:'62',D,'62','62'@1;'62',D,'62','62'@1:62_cluster_SspCNQ329.cluster001|f73c1e|2023-2420|8310|62_cluster_SspCNQ329.cluster001-3216-Item27-A_no_call_0,62_cluster_SspCNQ329.cluster001|288edd|1262-1659|8357|62_cluster_SspCNQ329.cluster001-3213-Item6-A_no_call_0
751:44,S,30,43@0.76;30,SL,28,'42'@0.76;'42',TL,'42','70'@0.76;'70',D,'70','70'@1:739,750
750:'70',D,'70','70'@1;'70',D,'70','70'@1:744,749
749:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|1543-1936|9691|70_cluster_TLI55.cluster001-3659-Item15-A_no_call_0,748
748:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|1dcea7|507-895|9664|70_cluster_TLI55.cluster001-3658-Item2-A_no_call_0,70_cluster_TLI55.cluster001|1dcea7|2156-2545|9672|70_cluster_TLI55.cluster001-3658-Item6-A_no_call_0
744:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|2587-2974|9697|70_cluster_TLI55.cluster001-3659-Item18-A_no_call_0,743
743:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|5709-6099|9715|70_cluster_TLI55.cluster001-3659-Item27-A_no_call_0,70_cluster_TLI55.cluster001|412004|7800-8189|9727|70_cluster_TLI55.cluster001-3659-Item33-A_no_call_0
739:'70',D,'70','70'@1;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|4672-5059|9709|70_cluster_TLI55.cluster001-3659-Item24-A_no_call_0,70_cluster_TLI55.cluster001|412004|6751-7140|9721|70_cluster_TLI55.cluster001-3659-Item30-A_no_call_0
736:46,S,'67',44@0.89;'67',T,'69','67'@0.95:69_cluster_MchersinaDSM44151|89c115|3693-4081|9524|69_cluster_MchersinaDSM44151-3597-Item39-A_nrp_0,735
735:'67',T,'69','67'@0.95;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e171e6|3693-4086|9136|67_cluster_STLI053.cluster001-3498-Item43-A_no_call_0,67_cluster_STLI053.cluster001|e171e6|7964-8356|9160|67_cluster_STLI053.cluster001-3498-Item55-A_leu_0
731:60,S,59,46@0.89;59,SL,58,55@0.89;55,SL,53,'68'@0.89;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|485-877|9269|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item11-A_no_call_0,730
730:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|5691-6063|9299|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item26-A_no_call_0,729
729:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|3593-3979|9287|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item20-A_no_call_0,728
728:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|2504-2942|9348|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item50-A_no_call_0,727
727:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|6643-7086|9372|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item62-A_no_call_0,726
726:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|4623-5059|9293|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item23-A_no_call_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|8706-9128|9317|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item35-A_no_call_0
718:110,S,109,60@0.58;109,SL,108,101@0.29;101,SL,97,100@0.29;100,TL,100,'49'@0.29;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|3716-4109|6563|49_cluster_WAC1438rc4d-2522-Item62-A_nrp_0,49_cluster_WAC1438rc4d|da5867|2631-3024|6487|49_cluster_WAC1438rc4d-2520-Item11-A_nrp_0
715:110,D,110,110@0.58;110,S,109,60@0.58:701,714
714:110,S,109,60@0.58;60,S,46,59@0.58:704,713
713:60,S,46,59@0.58;59,SL,58,55@0.61;55,SL,53,'68'@0.77;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|466-859|9247|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item2-A_no_call_0,712
712:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|6692-7061|9305|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item29-A_no_call_0,711
711:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|3595-3972|9354|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item53-A_tyr_0,710
710:'68',D,'68','68'@1;'68',D,'68','68'@1:68_cluster_HdaliensisNBRC106472.cluster001|55deb0|9759-10143|9323|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item38-A_tyr_0,68_cluster_HdaliensisNBRC106472.cluster001|4de7cc|1500-1884|9342|68_cluster_HdaliensisNBRC106472.cluster001-3548-Item47-A_tyr_0
704:60,S,46,59@0.58;46,SL,44,'67'@0.58;'67',T,'67','69'@0.79:67_cluster_STLI053.cluster001|4e2fef|6536-6936|9111|67_cluster_STLI053.cluster001-3497-Item31-A_phe_0,69_cluster_MchersinaDSM44151|60540f|6429-6829|9499|69_cluster_MchersinaDSM44151-3596-Item27-A_phe_0
701:110,S,109,60@0.58;109,S,108,101@0.58:437,700
700:109,S,108,101@0.58;101,T,101,60@0.58:524,699
699:101,T,101,60@0.58;60,S,59,46@0.58:537,698
698:60,S,59,46@0.58;46,S,'67',44@0.58:540,697
697:46,S,'67',44@0.58;44,S,30,43@0.58:569,696
696:44,S,30,43@0.58;43,T,43,55@0.22:574,695
695:43,T,43,55@0.22;55,S,'68',53@0.46:635,694
694:55,S,'68',53@0.46;53,T,53,106@0.22:638,693
693:53,T,53,106@0.22;106,S,'10',104@0.42:687,692
692:106,S,'10',104@0.42;104,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|294514|3487-3877|8089|60_cluster_AsubtropicusNRRLB24665-3100-Item22-A_bht_0,691
691:104,S,'60','39'@1;'39',T,'10','39'@1:10_cluster_ArectNRRLB16090|9ee539|3449-3898|1330|10_cluster_ArectNRRLB16090-520-Item17-A_bht_0,39_cluster_UK68597|e5e4cd|3500-3886|5130|39_cluster_UK68597-1912-Item22-A_bht|tyr_0
687:106,S,'10',104@0.42;'10',T,'48','10'@0.42:641,686
686:'10',T,'48','10'@0.42;'10',T,'10',91@0.42:656,685
685:'10',T,'10',91@0.42;91,S,90,85@1:661,684
684:91,S,90,85@1;85,SL,81,84@1;84,S,'04','03'@1:04_cluster_AazureaDSM43854|40c465|3523-3913|507|04_cluster_AazureaDSM43854-159-Item20-A_bht_0,683
683:84,S,'04','03'@1;'03',T,100,'03'@0.5:669,682
682:'03',T,100,'03'@0.5;'03',T,96,'03'@1:672,681
681:'03',T,96,'03'@1;'03',T,'03','11'@0.5:03_cluster_AalbaDSM44262|311e81|3468-3858|305|03_cluster_AalbaDSM44262-96-Item21-A_bht_0,680
680:'03',T,'03','11'@0.5;'11',T,'11',70@0.25:11_cluster_AregGY080|ac6242|3483-3873|1513|11_cluster_AregGY080-602-Item21-A_bht_0,679
679:'11',T,'11',70@0.25;70,T,'09',70@0.5:09_cluster_AOHO0100074|ca1b25|3477-3866|1198|09_cluster_AOHO0100074-462-Item20-A_bht|tyr_0,678
678:70,T,'09',70@0.5;70,S,'51','40'@1:51_cluster_WAC4169cluster051|66fb6a|3471-3861|6880|51_cluster_WAC4169cluster051-2638-Item13-A_bht_0,40_cluster_Vancomycin|aa4140|3470-3860|5232|40_cluster_Vancomycin-1956-Item20-A_bht|tyr_0
672:'03',T,96,'03'@1;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|3497-3887|643|05_cluster_AbalhimycinaFH1894-231-Item20-A_bht_0,14_cluster_Balhimycin|69cf6a|3497-3887|1856|14_cluster_Balhimycin-709-Item20-A_bht_0
669:'03',T,100,'03'@0.5;100,T,'29',100@0.25:665,668
668:100,T,'29',100@0.25;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|3498-3887|2413|18_cluster_Chloroeremomycin-1-961-Item20-A_bht_0,26_cluster_KaridNRRLB16535chlor|2871d2|3498-3887|3473|26_cluster_KaridNRRLB16535chlor-1355-Item20-A_bht_0
665:100,T,'29',100@0.25;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|61ac15|3519-3909|3841|29_cluster_pekiskomycin-1529-Item20-A_bht_0,47_cluster_WAC1420|713508|3526-3916|6226|47_cluster_WAC1420-2418-Item20-A_bht_0
661:91,S,90,85@1;90,S,88,'45'@0.5:44_cluster_WAC1375|5eeb3d|3451-3837|5693|44_cluster_WAC1375-2129-Item20-A_bht|tyr_0,660
660:90,S,88,'45'@0.5;'45',T,'45','46'@0.5:45_cluster_WAC1376cluster143|89a266|3440-3829|5913|45_cluster_WAC1376cluster143-2261-Item12-A_bht_0,46_cluster_WAC1416cluster068|d6e140|3448-3834|6104|46_cluster_WAC1416cluster068-2306-Item20-A_bht_0
44_cluster_WAC1375|5eeb3d|3451-3837|5693|44_cluster_WAC1375-2129-Item20-A_bht|tyr_0:90,S,88,'45'@0.5;88,SL,'46','44'@0.5
656:'10',T,'10',91@0.42;'10',TL,'10',73@0.42;73,S,72,67@1:07_cluster_AkerFH1893nogabecin|5b689a|3483-3872|913|07_cluster_AkerFH1893nogabecin-340-Item21-A_bht_0,655
655:73,S,72,67@1;67,T,67,76@1:649,654
654:67,T,67,76@1;76,S,'52','08'@1:52_cluster_WAC4182cluster089|6721ad|3418-3808|7008|52_cluster_WAC4182cluster089-2741-Item13-A_bht_0,653
653:76,S,'52','08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|b5adf0|3419-3809|1061|08_cluster_AlurRistocetin-429-Item13-A_bht|tyr_0,55_cluster_WAC05977|7779c3|3413-3803|7444|55_cluster_WAC05977-2904-Item20-A_bht_0
649:67,T,67,76@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|b7eff3|3419-3809|791|06_cluster_Ajap-Ristocetin-286-Item21-A_bht_0,648
648:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|a35ef6|3419-3809|7193|53_cluster_WAC4197cluster073-2789-Item20-A_bht_0,647
647:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|f68926|3419-3809|3314|25_cluster_JPLW01000007-1283-Item21-A_bht_0,27_cluster_KF882511-Ristocetin|f68926|3419-3809|3618|27_cluster_KF882511-Ristocetin-1416-Item21-A_bht_0
07_cluster_AkerFH1893nogabecin|5b689a|3483-3872|913|07_cluster_AkerFH1893nogabecin-340-Item21-A_bht_0:73,S,72,67@1;72,SL,70,'07'@1
641:'10',T,'48','10'@0.42;'48',T,'02','48'@0.78:02_cluster_A47934|3c365b|3488-3877|181|02_cluster_A47934-65-Item25-A_bht_0,48_cluster_WAC1424cluster109|2a4bff|3504-3898|6346|48_cluster_WAC1424cluster109-2483-Item10-A_tyr_0
638:53,T,53,106@0.22;53,S,51,'28'@1:01_cluster_A40926|2105e4|3491-3886|77|01_cluster_A40926-23-Item24-A_bht|tyr_0,28_cluster_NcoxDSM45129|26d899|3492-3887|3747|28_cluster_NcoxDSM45129-1495-Item24-A_tyr_0
01_cluster_A40926|2105e4|3491-3886|77|01_cluster_A40926-23-Item24-A_bht|tyr_0:53,S,51,'28'@1;51,SL,'48',49@1;49,SL,'71','01'@1
635:55,S,'68',53@0.46;'68',T,'68',106@0.46:71_cluster_Kistamicin|8e9844|3017-3405|9807|71_cluster_Kistamicin-3712-Item19-A_tyr_0,634
634:'68',T,'68',106@0.46;106,S,'10',104@0.83:10_cluster_ArectNRRLB16090|91b351|1049-1466|1357|10_cluster_ArectNRRLB16090-519-Item4-A_tyr_0,633
633:106,S,'10',104@0.83;104,T,53,104@0.83:579,632
632:104,T,53,104@0.83;104,T,12,104@0.82:626,631
631:104,T,12,104@0.82;104,T,53,104@0.82:48_cluster_WAC1424cluster109|3b5f08|1044-1435|6357|48_cluster_WAC1424cluster109-2485-Item27-A_tyr_0,630
630:104,T,53,104@0.82;104,S,'39','60'@0.82:39_cluster_UK68597|94efaf|1056-1447|5091|39_cluster_UK68597-1909-Item4-A_tyr_0,60_cluster_AsubtropicusNRRLB24665|9b0aff|1055-1446|8051|60_cluster_AsubtropicusNRRLB24665-3098-Item4-A_tyr_0
48_cluster_WAC1424cluster109|3b5f08|1044-1435|6357|48_cluster_WAC1424cluster109-2485-Item27-A_tyr_0:104,T,53,104@0.82;53,SL,'28',51@0.82;51,SL,49,'48'@0.83
626:104,T,12,104@0.82;12,SL,6,11@0.82;11,S,9,'29'@1:02_cluster_A47934|96a3b7|1056-1447|217|02_cluster_A47934-63-Item7-A_tyr_0,625
625:11,S,9,'29'@1;'29',T,'29',91@0.99:583,624
624:'29',T,'29',91@0.99;91,S,85,90@0.99:600,623
623:91,S,85,90@0.99;90,T,72,90@0.99:07_cluster_AkerFH1893nogabecin|0ae4e5|1059-1450|877|07_cluster_AkerFH1893nogabecin-338-Item4-A_bht_0,622
622:90,T,72,90@0.99;90,T,'04',90@0.99:04_cluster_AazureaDSM43854|eaed41|1051-1442|473|04_cluster_AazureaDSM43854-157-Item4-A_bht_0,621
621:90,T,'04',90@0.99;90,T,90,76@0.99:607,620
620:90,T,90,76@0.99;76,S,'52','08'@1:52_cluster_WAC4182cluster089|7af037|1050-1441|7049|52_cluster_WAC4182cluster089-2743-Item30-A_bht_0,619
619:76,S,'52','08'@1;'08',T,65,'08'@1:615,618
618:'08',T,65,'08'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|f97b18|1048-1439|1075|08_cluster_AlurRistocetin-431-Item29-A_bht_0,55_cluster_WAC05977|c79709|1047-1438|7414|55_cluster_WAC05977-2902-Item4-A_bht_0
615:'08',T,65,'08'@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|c876dd|1049-1440|7163|53_cluster_WAC4197cluster073-2787-Item4-A_bht_0,614
614:65,S,'53',63@1;63,T,'06',63@1:06_cluster_Ajap-Ristocetin|fe5f01|1050-1441|755|06_cluster_Ajap-Ristocetin-284-Item4-A_bht_0,613
613:63,T,'06',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|106ba6|1047-1438|3278|25_cluster_JPLW01000007-1281-Item4-A_bht_0,27_cluster_KF882511-Ristocetin|106ba6|1047-1438|3582|27_cluster_KF882511-Ristocetin-1414-Item4-A_bht_0
607:90,T,90,76@0.99;90,S,'45',88@1:45_cluster_WAC1376cluster143|ff21dc|1036-1427|5927|45_cluster_WAC1376cluster143-2263-Item28-A_bht_0,606
606:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|b413c5|1058-1449|5731|44_cluster_WAC1375-2127-Item4-A_bht|tyr_0,46_cluster_WAC1416cluster068|92ab0d|1060-1451|6071|46_cluster_WAC1416cluster068-2304-Item4-A_bht_0
07_cluster_AkerFH1893nogabecin|0ae4e5|1059-1450|877|07_cluster_AkerFH1893nogabecin-338-Item4-A_bht_0:90,T,72,90@0.99;72,SL,70,'07'@1
600:91,S,85,90@0.99;85,T,100,85@0.99:586,599
599:85,T,100,85@0.99;85,T,85,'11'@0.5:593,598
598:85,T,85,'11'@0.5;'11',T,'11',96@0.5:11_cluster_AregGY080|d0f836|1059-1450|1463|11_cluster_AregGY080-601-Item4-A_bht_0,597
597:'11',T,'11',96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|1058-1449|610|05_cluster_AbalhimycinaFH1894-230-Item4-A_bht_0,14_cluster_Balhimycin|c600a7|1058-1449|1880|14_cluster_Balhimycin-708-Item4-A_bht_0
593:85,T,85,'11'@0.5;85,S,84,81@0.99:03_cluster_AalbaDSM44262|b89e0c|1056-1447|349|03_cluster_AalbaDSM44262-95-Item4-A_bht_0,592
592:85,S,84,81@0.99;81,S,'09',79@0.99:09_cluster_AOHO0100074|5a50ae|1057-1448|1209|09_cluster_AOHO0100074-461-Item4-A_bht_0,591
591:81,S,'09',79@0.99;79,SL,78,73@0.99;73,SL,67,72@0.99;72,SL,'07',70@0.99;70,S,'40','51'@1:40_cluster_Vancomycin|b91546|1058-1449|5200|40_cluster_Vancomycin-1955-Item4-A_bht|tyr_0,51_cluster_WAC4169cluster051|ba280c|1060-1451|6820|51_cluster_WAC4169cluster051-2640-Item29-A_bht_0
03_cluster_AalbaDSM44262|b89e0c|1056-1447|349|03_cluster_AalbaDSM44262-95-Item4-A_bht_0:85,S,84,81@0.99;84,SL,'04','03'@0.99
586:85,T,100,85@0.99;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|1055-1446|2380|18_cluster_Chloroeremomycin-1-960-Item4-A_bht_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|1055-1446|3440|26_cluster_KaridNRRLB16535chlor-1354-Item4-A_bht_0
583:'29',T,'29',91@0.99;'29',T,'29','47'@1:29_cluster_pekiskomycin|48a09c|1088-1479|3808|29_cluster_pekiskomycin-1526-Item4-A_tyr_0,47_cluster_WAC1420|6cb684|1076-1467|6262|47_cluster_WAC1420-2415-Item4-A_tyr_0
02_cluster_A47934|96a3b7|1056-1447|217|02_cluster_A47934-63-Item7-A_tyr_0:11,S,9,'29'@1;9,SL,'49','02'@1
579:104,T,53,104@0.83;53,S,51,'28'@0.83:01_cluster_A40926|3799f5|1063-1454|107|01_cluster_A40926-14-Item10-A_tyr_0,28_cluster_NcoxDSM45129|12d4f1|1059-1449|3702|28_cluster_NcoxDSM45129-1493-Item7-A_tyr_0
01_cluster_A40926|3799f5|1063-1454|107|01_cluster_A40926-14-Item10-A_tyr_0:53,S,51,'28'@0.83;51,SL,'48',49@0.83;49,SL,'71','01'@0.83
71_cluster_Kistamicin|8e9844|3017-3405|9807|71_cluster_Kistamicin-3712-Item19-A_tyr_0:'68',T,'68',106@0.46;'68',TL,'68','71'@0.48
574:43,T,43,55@0.22;43,TL,43,4@0.58;4,S,'61',2@1:61_cluster_FNTE|83000e|3507-3898|8200|61_cluster_FNTE-3137-Item23-A_tyr_0,573
573:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|3506-3898|5575|43_cluster_WAC01325-2080-Item23-A_tyr_0,54_cluster_WAC05379-3|ba39af|3511-3904|7280|54_cluster_WAC05379-1-2851-Item12-A_tyr_0
569:44,S,30,43@0.58;30,S,28,'42'@0.58:543,568
568:30,S,28,'42'@0.58;'42',T,22,'42'@0.58:552,567
567:'42',T,22,'42'@0.58;'42',T,'42',41@0.58:42_cluster_WAC00631|c8684d|3569-3970|5476|42_cluster_WAC00631-2042-Item25-A_tyr_0,566
566:'42',T,'42',41@0.58;41,S,40,37@0.73:556,565
565:41,S,40,37@0.73;37,T,'62',37@0.24:62_cluster_SspCNQ329.cluster001|f73c1e|3546-3945|8318|62_cluster_SspCNQ329.cluster001-3216-Item31-A_tyr_0,564
564:37,T,'62',37@0.24;37,SL,'63',35@0.24;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|f326c5|3542-3941|8810|65_cluster_SspCNT371.cluster001-3384-Item33-A_tyr_0,563
563:35,S,'65',33@1;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|3554-3952|8969|66_cluster_SspCNY243.cluster001-3438-Item33-A_tyr_0,562
562:33,S,'66','64'@1;'64',T,'63','64'@1:63_cluster_SspCNQ525.cluster001|4ed3e5|3548-3947|8509|63_cluster_SspCNQ525.cluster001-3272-Item33-A_tyr_0,64_cluster_SspCNQ865.cluster001|180773|3545-3943|8618|64_cluster_SspCNQ865.cluster001-3328-Item33-A_tyr_0
556:41,S,40,37@0.73;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|3548-3947|4422|33_cluster_SspCNQ509-1694-Item33-A_tyr_0,58_cluster_WAC06738cluster004|d9a549|3539-3938|7883|58_cluster_WAC06738cluster004-3023-Item30-A_tyr_0
552:'42',T,22,'42'@0.58;22,S,14,21@1:13_cluster_AspOK074cluster1|ff28ca|3581-3992|1726|13_cluster_AspOK074cluster1-690-Item27-A_tyr_0,551
551:22,S,14,21@1;21,S,17,20@0.5:35_cluster_SspNRRLS1521-3|3cb15a|2504-2904|4675|35_cluster_SspNRRLS1521-1-1759-Item7-A_tyr_0,550
550:21,S,17,20@0.5;20,T,'50',20@0.5:50_cluster_WAC01529|9b5162|3620-4021|6700|50_cluster_WAC01529-2567-Item28-A_tyr_0,549
549:20,T,'50',20@0.5;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|dfb632|3566-3967|4129|31_cluster_SluteocolorNRBC13826-1610-Item32-A_tyr_0,32_cluster_Ssilaceus-3|07c96a|0-353|4288|32_cluster_Ssilaceus-1-1655-Item1-A_tyr_0
35_cluster_SspNRRLS1521-3|3cb15a|2504-2904|4675|35_cluster_SspNRRLS1521-1-1759-Item7-A_tyr_0:21,S,17,20@0.5;17,SL,'50','35'@0.5
13_cluster_AspOK074cluster1|ff28ca|3581-3992|1726|13_cluster_AspOK074cluster1-690-Item27-A_tyr_0:22,S,14,21@1;14,SL,12,'13'@1
543:30,S,28,'42'@0.58;28,SL,24,27@0.58;27,S,'57','59'@1:57_cluster_WAC06725|451761|3549-3950|7726|57_cluster_WAC06725-2978-Item25-A_tyr_0,59_cluster_WAC06783|42685d|3549-3950|7974|59_cluster_WAC06783-3059-Item25-A_tyr_0
540:46,S,'67',44@0.58;'67',TL,'67','70'@0.58;'70',D,'70','70'@1:70_cluster_TLI55.cluster001|412004|488-893|9685|70_cluster_TLI55.cluster001-3659-Item12-A_tyr_0,70_cluster_TLI55.cluster001|412004|3629-4022|9703|70_cluster_TLI55.cluster001-3659-Item21-A_tyr_0
537:60,S,59,46@0.58;59,SL,55,58@0.58;58,T,58,22@1:527,536
536:58,T,58,22@1;22,S,14,21@1:13_cluster_AspOK074cluster1|ff28ca|2038-2440|1718|13_cluster_AspOK074cluster1-690-Item23-A_tyr_0,535
535:22,S,14,21@1;21,S,17,20@0.5:50_cluster_WAC01529|9b5162|2062-2472|6692|50_cluster_WAC01529-2567-Item24-A_tyr_0,534
534:21,S,17,20@0.5;20,T,'35',20@0.5:35_cluster_SspNRRLS1521-3|3cb15a|982-1377|4667|35_cluster_SspNRRLS1521-1-1759-Item3-A_tyr_0,533
533:20,T,'35',20@0.5;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|dfb632|2038-2435|4121|31_cluster_SluteocolorNRBC13826-1610-Item28-A_tyr_0,32_cluster_Ssilaceus-2|cb43ed|2038-2435|4252|32_cluster_Ssilaceus-1-1654-Item11-A_tyr_0
50_cluster_WAC01529|9b5162|2062-2472|6692|50_cluster_WAC01529-2567-Item24-A_tyr_0:21,S,17,20@0.5;17,SL,'35','50'@0.5
13_cluster_AspOK074cluster1|ff28ca|2038-2440|1718|13_cluster_AspOK074cluster1-690-Item23-A_tyr_0:22,S,14,21@1;14,SL,12,'13'@1
527:58,T,58,22@1;58,S,'12','56'@1:12_cluster_ArifDSM43936-4|04fca8|637-1038|1643|12_cluster_ArifDSM43936-1-661-Item3-A_nrp_0,56_cluster_WAC06369|6e6f2f|5686-6087|7626|56_cluster_WAC06369-2953-Item57-A_nrp_0
524:101,T,101,60@0.58;101,S,97,100@0.58:520,523
523:101,S,97,100@0.58;100,T,'29',100@0.15:29_cluster_pekiskomycin|cb4f2e|907-1282|3816|29_cluster_pekiskomycin-1527-Item8-A_leu_0,47_cluster_WAC1420|6cb684|2581-2956|6270|47_cluster_WAC1420-2415-Item8-A_leu_0
47_cluster_WAC1420|6cb684|2581-2956|6270|47_cluster_WAC1420-2415-Item8-A_leu_0:100,T,'29',100@0.15;100,TL,100,'47'@0.15
520:101,S,97,100@0.58;97,T,97,30@0.12:482,519
519:97,T,97,30@0.12;30,S,28,'42'@0.37:491,518
518:30,S,28,'42'@0.37;'42',T,22,'42'@0.19:514,517
517:'42',T,22,'42'@0.19;'42',T,'42','71'@0.83:42_cluster_WAC00631|27de41|1558-1960|5434|42_cluster_WAC00631-2040-Item5-A_trp_0,71_cluster_Kistamicin|492fcd|657-1046|9841|71_cluster_Kistamicin-3710-Item3-A_no_call_0
514:'42',T,22,'42'@0.19;22,T,43,22@0.54:504,513
513:22,T,43,22@0.54;22,S,14,21@1:13_cluster_AspOK074cluster1|4c3536|1232-1634|1780|13_cluster_AspOK074cluster1-687-Item10-A_trp_0,512
512:22,S,14,21@1;21,S,17,20@0.5:50_cluster_WAC01529|abd45d|2658-3078|6662|50_cluster_WAC01529-2565-Item10-A_trp_0,511
511:21,S,17,20@0.5;20,T,'35',20@0.5:35_cluster_SspNRRLS1521-2|d6ff19|70-496|4611|35_cluster_SspNRRLS1521-1-1757-Item1-A_trp_0,510
510:20,T,'35',20@0.5;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|ba0325|3645-4051|4092|31_cluster_SluteocolorNRBC13826-1608-Item14-A_trp_0,32_cluster_Ssilaceus-1|7cf6a6|3645-4051|4207|32_cluster_Ssilaceus-1-1651-Item14-A_trp_0
50_cluster_WAC01529|abd45d|2658-3078|6662|50_cluster_WAC01529-2565-Item10-A_trp_0:21,S,17,20@0.5;17,SL,'35','50'@0.5
13_cluster_AspOK074cluster1|4c3536|1232-1634|1780|13_cluster_AspOK074cluster1-687-Item10-A_trp_0:22,S,14,21@1;14,SL,12,'13'@1
504:22,T,43,22@0.54;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|200519|490-889|8374|62_cluster_SspCNQ329.cluster001-3214-Item14-A_nme-fhorn_0,503
503:43,S,'62',41@1;41,S,37,40@1:499,502
