1028:93,T,93,40@0.12:172,1027
1027:93,T,93,40@0.12;40,S,36,39@inf:843,1026
756:19,S,'52','08'@-nan;'52',T,'45','52'@-nan:45_cluster_WAC1376cluster143|89a266|2419-2486|5907|45_cluster_WAC1376cluster143-2261-Item15-PCP_0,52_cluster_WAC4182cluster089|6721ad|2411-2479|7002|52_cluster_WAC4182cluster089-2741-Item16-PCP_0
753:19,TTD,-1,19@-nan;-1,TLFD,-1,23@-nan;23,S,'44','46'@-nan:44_cluster_WAC1375|5eeb3d|2425-2492|5687|44_cluster_WAC1375-2129-Item17-PCP_0,46_cluster_WAC1416cluster068|d6e140|2422-2489|6098|46_cluster_WAC1416cluster068-2306-Item17-PCP_0
750:39,T,39,19@-nan;39,S,'18','26'@-nan:18_cluster_Chloroeremomycin-1|2871d2|2459-2527|2407|18_cluster_Chloroeremomycin-1-961-Item17-PCP_0,26_cluster_KaridNRRLB16535chlor|2871d2|2459-2527|3467|26_cluster_KaridNRRLB16535chlor-1355-Item17-PCP_0
747:39,T,29,39@-nan;29,T,29,'29'@-nan:741,746
746:29,T,29,'29'@-nan;'29',T,'29','07'@-nan:29_cluster_pekiskomycin|61ac15|2482-2550|3835|29_cluster_pekiskomycin-1529-Item17-PCP_0,745
745:'29',T,'29','07'@-nan;'07',T,'07','47'@-nan:07_cluster_AkerFH1893nogabecin|5b689a|2446-2514|907|07_cluster_AkerFH1893nogabecin-340-Item18-PCP_0,47_cluster_WAC1420|713508|2489-2557|6220|47_cluster_WAC1420-2418-Item17-PCP_0
741:29,T,29,'29'@-nan;29,S,'04','03'@-nan:04_cluster_AazureaDSM43854|40c465|2483-2551|501|04_cluster_AazureaDSM43854-159-Item17-PCP_0,740
740:29,S,'04','03'@-nan;'03',T,35,'03'@-nan:730,739
739:'03',T,35,'03'@-nan;'03',T,'03',9@-nan:03_cluster_AalbaDSM44262|311e81|2445-2513|299|03_cluster_AalbaDSM44262-96-Item18-PCP_0,738
738:'03',T,'03',9@-nan;9,T,'09',9@-nan:09_cluster_AOHO0100074|ca1b25|2451-2518|1192|09_cluster_AOHO0100074-462-Item17-PCP_0,737
737:9,T,'09',9@-nan;9,T,'11',9@-nan:11_cluster_AregGY080|ac6242|2450-2517|1507|11_cluster_AregGY080-602-Item18-PCP_0,736
736:9,T,'11',9@-nan;9,S,'51','40'@-nan:51_cluster_WAC4169cluster051|66fb6a|2447-2514|6874|51_cluster_WAC4169cluster051-2638-Item16-PCP_0,40_cluster_Vancomycin|aa4140|2447-2514|5226|40_cluster_Vancomycin-1956-Item17-PCP_0
730:'03',T,35,'03'@-nan;35,S,'05','14'@-nan:05_cluster_AbalhimycinaFH1894|903de1|2458-2526|637|05_cluster_AbalhimycinaFH1894-231-Item17-PCP_0,14_cluster_Balhimycin|69cf6a|2458-2526|1850|14_cluster_Balhimycin-709-Item17-PCP_0
726:102,T,102,39@-nan;102,S,100,'28'@-nan:48_cluster_WAC1424cluster109|2a4bff|2466-2533|6340|48_cluster_WAC1424cluster109-2483-Item13-PCP_0,725
725:102,S,100,'28'@-nan;'28',T,'01','28'@-nan:01_cluster_A40926|2105e4|2454-2521|71|01_cluster_A40926-23-Item21-PCP_0,28_cluster_NcoxDSM45129|26d899|2455-2522|3741|28_cluster_NcoxDSM45129-1495-Item21-PCP_0
48_cluster_WAC1424cluster109|2a4bff|2466-2533|6340|48_cluster_WAC1424cluster109-2483-Item13-PCP_0:102,S,100,'28'@-nan;100,SL,98,'48'@-nan
02_cluster_A47934|3c365b|2452-2520|175|02_cluster_A47934-65-Item22-PCP_0:102,TTD,-1,102@-nan;-1,TLFD,-1,'02'@-nan
719:'42',T,'42',45@inf;'42',T,'71','42'@inf:71_cluster_Kistamicin|8e9844|1990-2056|9801|71_cluster_Kistamicin-3712-Item16-PCP_0,718
718:'42',T,'71','42'@inf;'42',T,'42',53@inf:700,717
717:'42',T,'42',53@inf;53,S,'61',51@-nan:711,716
716:53,S,'61',51@-nan;51,S,'43','54'@-nan:43_cluster_WAC01325|e1a992|951-1017|5621|43_cluster_WAC01325-2079-Item10-PCP_0,715
715:51,S,'43','54'@-nan;'54',T,'54','61'@-nan:54_cluster_WAC05379-2|59f544|598-664|7251|54_cluster_WAC05379-1-2849-Item2-PCP_0,61_cluster_FNTE|890b38|951-1017|8173|61_cluster_FNTE-3136-Item10-PCP_0
711:53,S,'61',51@-nan;'61',T,51,'61'@-nan:705,710
710:'61',T,51,'61'@-nan;'61',T,'61',51@-nan:61_cluster_FNTE|83000e|2457-2523|8194|61_cluster_FNTE-3137-Item20-PCP_0,709
709:'61',T,'61',51@-nan;51,S,'43','54'@-nan:43_cluster_WAC01325|b6db0d|2455-2521|5569|43_cluster_WAC01325-2080-Item20-PCP_0,54_cluster_WAC05379-3|ba39af|2462-2528|7274|54_cluster_WAC05379-1-2851-Item9-PCP_0
705:'61',T,51,'61'@-nan;51,S,'54','43'@-nan:54_cluster_WAC05379-1|edff73|498-564|7235|54_cluster_WAC05379-1-2847-Item2-PCP_0,704
704:51,S,'54','43'@-nan;'43',T,'43','61'@-nan:43_cluster_WAC01325|536b71|493-559|5604|43_cluster_WAC01325-2078-Item2-PCP_0,61_cluster_FNTE|5a217a|493-559|8229|61_cluster_FNTE-3135-Item2-PCP_0
700:'42',T,'42',53@inf;'42',T,'42',76@inf:696,699
699:'42',T,'42',76@inf;76,S,'57','59'@-nan:57_cluster_WAC06725|20c8cf|952-1018|7699|57_cluster_WAC06725-2977-Item12-PCP_0,59_cluster_WAC06783|108337|982-1048|7947|59_cluster_WAC06783-3058-Item12-PCP_0
696:'42',T,'42',76@inf;'42',D,'42','42'@-nan:42_cluster_WAC00631|27de41|2042-2107|5436|42_cluster_WAC00631-2040-Item6-PCP_0,695
695:'42',D,'42','42'@-nan;'42',D,'42','42'@-nan:42_cluster_WAC00631|27de41|977-1044|5430|42_cluster_WAC00631-2040-Item3-PCP_0,694
694:'42',D,'42','42'@-nan;'42',D,'42','42'@-nan:42_cluster_WAC00631|19b4d7|994-1061|5449|42_cluster_WAC00631-2041-Item12-PCP_0,42_cluster_WAC00631|c8684d|2516-2583|5470|42_cluster_WAC00631-2042-Item22-PCP_0
688:'42',TTD,-1,'42'@inf;-1,DD,-1,-1@-nan:670,687
687:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:681,686
686:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:48_cluster_WAC1424cluster109|3f00df|932-999|6367|48_cluster_WAC1424cluster109-2484-Item22-PCP_0,685
685:-1,DD,-1,-1@-nan;-1,TLFD,-1,43@-nan;43,S,'60','39'@-nan:60_cluster_AsubtropicusNRRLB24665|33354c|956-1022|8064|60_cluster_AsubtropicusNRRLB24665-3099-Item10-PCP_0,39_cluster_UK68597|b35ee4|954-1020|5102|39_cluster_UK68597-1910-Item9-PCP_0
48_cluster_WAC1424cluster109|3f00df|932-999|6367|48_cluster_WAC1424cluster109-2484-Item22-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'48'@-nan
681:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:02_cluster_A47934|cfe15e|931-997|154|02_cluster_A47934-64-Item12-PCP_0,680
680:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:04_cluster_AazureaDSM43854|058076|954-1020|484|04_cluster_AazureaDSM43854-158-Item9-PCP_0,679
679:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:675,678
678:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:01_cluster_A40926|3799f5|1530-1599|109|01_cluster_A40926-14-Item9-PCP_0,28_cluster_NcoxDSM45129|12d4f1|1525-1593|3704|28_cluster_NcoxDSM45129-1493-Item8-PCP_0
28_cluster_NcoxDSM45129|12d4f1|1525-1593|3704|28_cluster_NcoxDSM45129-1493-Item8-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'28'@-nan
01_cluster_A40926|3799f5|1530-1599|109|01_cluster_A40926-14-Item9-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'01'@-nan
675:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:01_cluster_A40926|b69bf0|933-1002|98|01_cluster_A40926-13-Item5-PCP_0,28_cluster_NcoxDSM45129|4a58b3|953-1022|3715|28_cluster_NcoxDSM45129-1494-Item13-PCP_0
28_cluster_NcoxDSM45129|4a58b3|953-1022|3715|28_cluster_NcoxDSM45129-1494-Item13-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'28'@-nan
01_cluster_A40926|b69bf0|933-1002|98|01_cluster_A40926-13-Item5-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'01'@-nan
04_cluster_AazureaDSM43854|058076|954-1020|484|04_cluster_AazureaDSM43854-158-Item9-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'04'@-nan
02_cluster_A47934|cfe15e|931-997|154|02_cluster_A47934-64-Item12-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'02'@-nan
670:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:632,669
669:-1,DD,-1,-1@-nan;-1,DD,-1,-1@-nan:645,668
668:-1,DD,-1,-1@-nan;-1,TLFD,-1,11@-nan;11,S,9,'07'@-nan:662,667
667:11,S,9,'07'@-nan;'07',T,'07','29'@-nan:07_cluster_AkerFH1893nogabecin|13612f|955-1022|890|07_cluster_AkerFH1893nogabecin-339-Item10-PCP_0,666
666:'07',T,'07','29'@-nan;'29',T,'29','47'@-nan:29_cluster_pekiskomycin|cb4f2e|1364-1430|3818|29_cluster_pekiskomycin-1527-Item9-PCP_0,47_cluster_WAC1420|6cb684|3038-3104|6272|47_cluster_WAC1420-2415-Item9-PCP_0
662:11,S,9,'07'@-nan;9,T,39,9@-nan:648,661
661:9,T,39,9@-nan;9,T,9,35@-nan:657,660
660:9,T,9,35@-nan;35,S,'05','14'@-nan:05_cluster_AbalhimycinaFH1894|8cd520|3052-3119|620|05_cluster_AbalhimycinaFH1894-230-Item9-PCP_0,14_cluster_Balhimycin|c600a7|3052-3119|1890|14_cluster_Balhimycin-708-Item9-PCP_0
657:9,T,9,35@-nan;9,T,'03',9@-nan:03_cluster_AalbaDSM44262|b89e0c|3026-3094|359|03_cluster_AalbaDSM44262-95-Item9-PCP_0,656
656:9,T,'03',9@-nan;9,T,'11',9@-nan:11_cluster_AregGY080|d0f836|3052-3120|1473|11_cluster_AregGY080-601-Item9-PCP_0,655
655:9,T,'11',9@-nan;9,T,'09',9@-nan:09_cluster_AOHO0100074|5a50ae|3046-3114|1219|09_cluster_AOHO0100074-461-Item9-PCP_0,654
654:9,T,'09',9@-nan;9,S,'40','51'@-nan:40_cluster_Vancomycin|b91546|3047-3115|5210|40_cluster_Vancomycin-1955-Item9-PCP_0,51_cluster_WAC4169cluster051|ba280c|3049-3117|6830|51_cluster_WAC4169cluster051-2640-Item24-PCP_0
648:9,T,39,9@-nan;39,S,'18','26'@-nan:18_cluster_Chloroeremomycin-1|4e2bb9|3053-3121|2390|18_cluster_Chloroeremomycin-1-960-Item9-PCP_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|3053-3121|3450|26_cluster_KaridNRRLB16535chlor-1354-Item9-PCP_0
645:-1,DD,-1,-1@-nan;-1,TLFD,-1,19@-nan;19,S,'08','52'@-nan:641,644
644:19,S,'08','52'@-nan;'52',T,'52','55'@-nan:52_cluster_WAC4182cluster089|c61315|945-1011|7062|52_cluster_WAC4182cluster089-2742-Item24-PCP_0,55_cluster_WAC05977|95f0b5|921-987|7465|55_cluster_WAC05977-2903-Item9-PCP_0
641:19,S,'08','52'@-nan;'08',T,'08',6@-nan:08_cluster_AlurRistocetin|abf26e|921-987|1017|08_cluster_AlurRistocetin-430-Item24-PCP_0,640
640:'08',T,'08',6@-nan;6,S,'06',4@-nan:06_cluster_Ajap-Ristocetin|276c55|946-1012|768|06_cluster_Ajap-Ristocetin-285-Item10-PCP_0,639
639:6,S,'06',4@-nan;4,S,'53',2@-nan:53_cluster_WAC4197cluster073|41ac20|927-993|7217|53_cluster_WAC4197cluster073-2788-Item9-PCP_0,638
638:4,S,'53',2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|e2e0bc|946-1012|3291|25_cluster_JPLW01000007-1282-Item10-PCP_0,27_cluster_KF882511-Ristocetin|e2e0bc|946-1012|3595|27_cluster_KF882511-Ristocetin-1415-Item10-PCP_0
632:-1,DD,-1,-1@-nan;-1,TLFD,-1,25@-nan;25,S,'45',23@-nan:45_cluster_WAC1376cluster143|6396c3|932-998|5872|45_cluster_WAC1376cluster143-2262-Item23-PCP_0,631
631:25,S,'45',23@-nan;23,S,'44','46'@-nan:44_cluster_WAC1375|86eb70|928-994|5670|44_cluster_WAC1375-2128-Item9-PCP_0,46_cluster_WAC1416cluster068|4017ae|932-998|6081|46_cluster_WAC1416cluster068-2305-Item9-PCP_0
627:79,S,77,'42'@inf;77,TTD,-1,77@inf:70_cluster_TLI55.cluster001|1dcea7|970-1035|9666|70_cluster_TLI55.cluster001-3658-Item3-PCP_0,626
626:77,TTD,-1,77@inf;77,T,77,107@inf:570,625
625:77,T,77,107@inf;107,T,107,92@-nan:587,624
624:107,T,107,92@-nan;92,T,66,92@-nan:596,623
623:92,T,66,92@-nan;92,S,90,'62'@-nan:609,622
622:92,S,90,'62'@-nan;'62',T,'62',89@-nan:618,621
621:'62',T,'62',89@-nan;89,S,'33','58'@-nan:33_cluster_SspCNQ509|c57782|1596-1662|4367|33_cluster_SspCNQ509-1691-Item7-PCP_0,58_cluster_WAC06738cluster004|1bd006|1602-1667|7831|58_cluster_WAC06738cluster004-3020-Item5-PCP_0
618:'62',T,'62',89@-nan;'62',T,'62',84@-nan:62_cluster_SspCNQ329.cluster001|288edd|1741-1808|8359|62_cluster_SspCNQ329.cluster001-3213-Item7-PCP_0,617
617:'62',T,'62',84@-nan;84,S,'65',82@-nan:65_cluster_SspCNT371.cluster001|e00a01|1735-1802|8755|65_cluster_SspCNT371.cluster001-3381-Item7-PCP_0,616
616:84,S,'65',82@-nan;82,T,'63',82@-nan:63_cluster_SspCNQ525.cluster001|47a90b|1732-1798|8454|63_cluster_SspCNQ525.cluster001-3269-Item7-PCP_0,615
615:82,T,'63',82@-nan;82,S,'64','66'@-nan:64_cluster_SspCNQ865.cluster001|1efe89|1735-1802|8658|64_cluster_SspCNQ865.cluster001-3325-Item7-PCP_0,66_cluster_SspCNY243.cluster001|26108b|1681-1748|8914|66_cluster_SspCNY243.cluster001-3435-Item7-PCP_0
609:92,S,90,'62'@-nan;90,S,86,89@-nan:603,608
608:90,S,86,89@-nan;89,T,'62',89@-nan:62_cluster_SspCNQ329.cluster001|288edd|686-753|8353|62_cluster_SspCNQ329.cluster001-3213-Item4-PCP_0,607
607:89,T,'62',89@-nan;89,S,'33','58'@-nan:33_cluster_SspCNQ509|c57782|542-609|4361|33_cluster_SspCNQ509-1691-Item4-PCP_0,58_cluster_WAC06738cluster004|1bd006|550-617|7825|58_cluster_WAC06738cluster004-3020-Item2-PCP_0
603:90,S,86,89@-nan;86,TTD,-1,86@-nan:64_cluster_SspCNQ865.cluster001|1efe89|686-753|8652|64_cluster_SspCNQ865.cluster001-3325-Item4-PCP_0,602
602:86,TTD,-1,86@-nan;86,S,84,'63'@-nan:65_cluster_SspCNT371.cluster001|e00a01|686-753|8749|65_cluster_SspCNT371.cluster001-3381-Item4-PCP_0,601
601:86,S,84,'63'@-nan;'63',T,'66','63'@-nan:66_cluster_SspCNY243.cluster001|26108b|632-699|8908|66_cluster_SspCNY243.cluster001-3435-Item4-PCP_0,63_cluster_SspCNQ525.cluster001|47a90b|686-753|8448|63_cluster_SspCNQ525.cluster001-3269-Item4-PCP_0
65_cluster_SspCNT371.cluster001|e00a01|686-753|8749|65_cluster_SspCNT371.cluster001-3381-Item4-PCP_0:86,S,84,'63'@-nan;84,SL,82,'65'@-nan
64_cluster_SspCNQ865.cluster001|1efe89|686-753|8652|64_cluster_SspCNQ865.cluster001-3325-Item4-PCP_0:86,TTD,-1,86@-nan;-1,TLFD,-1,'64'@-nan
596:92,T,66,92@-nan;66,S,'35','50'@-nan:35_cluster_SspNRRLS1521-3|4d8679|970-1036|4647|35_cluster_SspNRRLS1521-1-1760-Item13-PCP_0,595
595:66,S,'35','50'@-nan;'50',T,'50',69@-nan:50_cluster_WAC01529|b2e10b|980-1044|6713|50_cluster_WAC01529-2568-Item34-PCP_0,594
594:'50',T,'50',69@-nan;69,T,'13',69@-nan:13_cluster_AspOK074cluster1|2f3ccd|976-1040|1748|13_cluster_AspOK074cluster1-691-Item33-PCP_0,593
593:69,T,'13',69@-nan;69,S,'31','32'@-nan:31_cluster_SluteocolorNRBC13826|26e45e|972-1037|4145|31_cluster_SluteocolorNRBC13826-1611-Item38-PCP_0,32_cluster_Ssilaceus-3|0da9d1|972-1037|4272|32_cluster_Ssilaceus-1-1656-Item7-PCP_0
587:107,T,107,92@-nan;107,D,107,107@-nan:581,586
586:107,D,107,107@-nan;107,S,'56','12'@-nan:56_cluster_WAC06369|e01984|999-1066|7562|56_cluster_WAC06369-2951-Item26-PCP_0,585
585:107,S,'56','12'@-nan;'12',T,'12','56'@-nan:12_cluster_ArifDSM43936-3|b905de|2621-2687|1600|12_cluster_ArifDSM43936-1-659-Item8-PCP_0,56_cluster_WAC06369|3856d8|2597-2663|7533|56_cluster_WAC06369-2950-Item12-PCP_0
581:107,D,107,107@-nan;107,D,107,107@-nan:573,580
580:107,D,107,107@-nan;107,D,107,107@-nan:576,579
579:107,D,107,107@-nan;107,S,'12','56'@-nan:12_cluster_ArifDSM43936-3|b905de|4111-4178|1608|12_cluster_ArifDSM43936-1-659-Item12-PCP_0,56_cluster_WAC06369|3856d8|4087-4154|7541|56_cluster_WAC06369-2950-Item16-PCP_0
576:107,D,107,107@-nan;107,S,'12','56'@-nan:12_cluster_ArifDSM43936-2|6da040|2778-2845|1554|12_cluster_ArifDSM43936-1-657-Item8-PCP_0,56_cluster_WAC06369|394215|3048-3115|7587|56_cluster_WAC06369-2952-Item38-PCP_0
573:107,D,107,107@-nan;107,S,'12','56'@-nan:12_cluster_ArifDSM43936-3|b905de|5642-5708|1616|12_cluster_ArifDSM43936-1-659-Item16-PCP_0,56_cluster_WAC06369|3856d8|5618-5684|7549|56_cluster_WAC06369-2950-Item20-PCP_0
570:77,T,77,107@inf;77,T,107,77@inf:176,569
569:77,T,107,77@inf;77,S,73,76@inf:469,568
568:77,S,73,76@inf;76,T,76,45@inf:506,567
567:76,T,76,45@inf;45,TTD,-1,45@-nan:71_cluster_Kistamicin|c2bb94|953-1021|9818|71_cluster_Kistamicin-3713-Item24-PCP_0,566
566:45,TTD,-1,45@-nan;45,T,36,45@-nan:524,565
565:45,T,36,45@-nan;45,TTD,45,-1@-nan:561,564
564:45,TTD,45,-1@-nan;-1,DD,-1,-1@-nan:29_cluster_pekiskomycin|3b5b44|980-1048|3852|29_cluster_pekiskomycin-1530-Item25-PCP_0,47_cluster_WAC1420|f1adce|980-1048|6237|47_cluster_WAC1420-2419-Item25-PCP_0
47_cluster_WAC1420|f1adce|980-1048|6237|47_cluster_WAC1420-2419-Item25-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'47'@-nan
29_cluster_pekiskomycin|3b5b44|980-1048|3852|29_cluster_pekiskomycin-1530-Item25-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'29'@-nan
561:45,TTD,45,-1@-nan;45,TTD,45,-1@-nan:557,560
560:45,TTD,45,-1@-nan;-1,DD,-1,-1@-nan:04_cluster_AazureaDSM43854|7a2c10|971-1039|440|04_cluster_AazureaDSM43854-160-Item25-PCP_0,07_cluster_AkerFH1893nogabecin|007425|971-1039|924|07_cluster_AkerFH1893nogabecin-341-Item26-PCP_0
07_cluster_AkerFH1893nogabecin|007425|971-1039|924|07_cluster_AkerFH1893nogabecin-341-Item26-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'07'@-nan
04_cluster_AazureaDSM43854|7a2c10|971-1039|440|04_cluster_AazureaDSM43854-160-Item25-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'04'@-nan
557:45,TTD,45,-1@-nan;45,TTD,45,-1@-nan:537,556
556:45,TTD,45,-1@-nan;-1,DD,-1,-1@-nan:540,555
555:-1,DD,-1,-1@-nan;-1,TLFD,-1,19@-nan;19,S,'08','52'@-nan:545,554
554:19,S,'08','52'@-nan;'52',T,'52',25@-nan:548,553
553:'52',T,'52',25@-nan;25,S,'45',23@-nan:45_cluster_WAC1376cluster143|2f68bd|944-1012|5878|45_cluster_WAC1376cluster143-2259-Item8-PCP_0,552
552:25,S,'45',23@-nan;23,S,'44','46'@-nan:44_cluster_WAC1375|26826b|970-1038|5704|44_cluster_WAC1375-2130-Item25-PCP_0,46_cluster_WAC1416cluster068|d7004d|944-1012|6112|46_cluster_WAC1416cluster068-2307-Item24-PCP_0
548:'52',T,'52',25@-nan;'52',T,'52','55'@-nan:52_cluster_WAC4182cluster089|e7dbb3|970-1038|7024|52_cluster_WAC4182cluster089-2740-Item8-PCP_0,55_cluster_WAC05977|27f9dd|970-1038|7455|55_cluster_WAC05977-2905-Item25-PCP_0
545:19,S,'08','52'@-nan;'08',T,'06','08'@-nan:06_cluster_Ajap-Ristocetin|41a04d|970-1038|725|06_cluster_Ajap-Ristocetin-288-Item26-PCP_0,544
544:'08',T,'06','08'@-nan;'08',T,'08','53'@-nan:08_cluster_AlurRistocetin|0f4616|999-1067|1029|08_cluster_AlurRistocetin-428-Item8-PCP_0,53_cluster_WAC4197cluster073|45ffd8|970-1038|7204|53_cluster_WAC4197cluster073-2790-Item25-PCP_0
540:-1,DD,-1,-1@-nan;-1,TLFD,-1,2@-nan;2,S,'25','27'@-nan:25_cluster_JPLW01000007|e66a00|970-1038|3325|25_cluster_JPLW01000007-1284-Item26-PCP_0,27_cluster_KF882511-Ristocetin|e66a00|970-1038|3629|27_cluster_KF882511-Ristocetin-1417-Item26-PCP_0
537:45,TTD,45,-1@-nan;45,TTD,-1,45@-nan:48_cluster_WAC1424cluster109|1e552c|945-1013|6316|48_cluster_WAC1424cluster109-2482-Item6-PCP_0,536
536:45,TTD,-1,45@-nan;45,TTD,-1,45@-nan:528,535
535:45,TTD,-1,45@-nan;45,S,'10',43@-nan:10_cluster_ArectNRRLB16090|35a3e5|966-1034|1341|10_cluster_ArectNRRLB16090-521-Item22-PCP_0,534
534:45,S,'10',43@-nan;43,S,'39','60'@-nan:39_cluster_UK68597|13b231|976-1044|5141|39_cluster_UK68597-1913-Item27-PCP_0,533
533:43,S,'39','60'@-nan;'60',T,'60','02'@-nan:60_cluster_AsubtropicusNRRLB24665|46c496|975-1043|8100|60_cluster_AsubtropicusNRRLB24665-3101-Item27-PCP_0,02_cluster_A47934|f1a9cd|980-1048|192|02_cluster_A47934-66-Item30-PCP_0
528:45,TTD,-1,45@-nan;-1,DD,-1,-1@-nan:01_cluster_A40926|6a1658|976-1044|88|01_cluster_A40926-24-Item29-PCP_0,28_cluster_NcoxDSM45129|80f814|977-1045|3689|28_cluster_NcoxDSM45129-1496-Item29-PCP_0
28_cluster_NcoxDSM45129|80f814|977-1045|3689|28_cluster_NcoxDSM45129-1496-Item29-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'28'@-nan
01_cluster_A40926|6a1658|976-1044|88|01_cluster_A40926-24-Item29-PCP_0:-1,DD,-1,-1@-nan;-1,TLFD,-1,'01'@-nan
48_cluster_WAC1424cluster109|1e552c|945-1013|6316|48_cluster_WAC1424cluster109-2482-Item6-PCP_0:45,TTD,-1,45@-nan;-1,TLFD,-1,'48'@-nan
524:45,T,36,45@-nan;36,S,32,35@-nan:11_cluster_AregGY080|643e69|969-1037|1487|11_cluster_AregGY080-603-Item26-PCP_0,523
523:36,S,32,35@-nan;35,T,9,35@-nan:519,522
522:35,T,9,35@-nan;35,S,'05','14'@-nan:05_cluster_AbalhimycinaFH1894|d4f558|969-1037|654|05_cluster_AbalhimycinaFH1894-232-Item25-PCP_0,14_cluster_Balhimycin|638910|969-1037|1867|14_cluster_Balhimycin-710-Item25-PCP_0
519:35,T,9,35@-nan;9,T,39,9@-nan:511,518
518:9,T,39,9@-nan;9,T,'03',9@-nan:03_cluster_AalbaDSM44262|3f5634|967-1035|316|03_cluster_AalbaDSM44262-97-Item26-PCP_0,517
517:9,T,'03',9@-nan;9,T,'09',9@-nan:09_cluster_AOHO0100074|586f66|977-1045|1155|09_cluster_AOHO0100074-463-Item25-PCP_0,516
516:9,T,'09',9@-nan;9,S,'40','51'@-nan:40_cluster_Vancomycin|0a9770|977-1045|5243|40_cluster_Vancomycin-1957-Item25-PCP_0,51_cluster_WAC4169cluster051|0dd5c9|977-1045|6854|51_cluster_WAC4169cluster051-2637-Item8-PCP_0
511:9,T,39,9@-nan;39,S,'18','26'@-nan:18_cluster_Chloroeremomycin-1|1dfbcd|980-1048|2424|18_cluster_Chloroeremomycin-1-962-Item25-PCP_0,26_cluster_KaridNRRLB16535chlor|661409|971-1039|3484|26_cluster_KaridNRRLB16535chlor-1356-Item25-PCP_0
11_cluster_AregGY080|643e69|969-1037|1487|11_cluster_AregGY080-603-Item26-PCP_0:36,S,32,35@-nan;32,SL,30,'11'@-nan
71_cluster_Kistamicin|c2bb94|953-1021|9818|71_cluster_Kistamicin-3713-Item24-PCP_0:45,TTD,-1,45@-nan;-1,TLFD,-1,'71'@-nan
506:76,T,76,45@inf;76,T,53,76@inf:474,505
505:76,T,53,76@inf;76,T,76,92@inf:477,504
504:76,T,76,92@inf;92,T,'13',92@inf:488,503
503:92,T,'13',92@inf;92,T,'70',92@inf:70_cluster_TLI55.cluster001|412004|8276-8343|9729|70_cluster_TLI55.cluster001-3659-Item34-PCP_0,502
502:92,T,'70',92@inf;92,TTD,-1,92@-nan:496,501
501:92,TTD,-1,92@-nan;92,S,'62',90@-nan:62_cluster_SspCNQ329.cluster001|7c2c30|959-1027|8333|62_cluster_SspCNQ329.cluster001-3217-Item38-PCP_0,500
500:92,S,'62',90@-nan;90,SL,86,89@-nan;89,S,'33','58'@-nan:33_cluster_SspCNQ509|511064|958-1026|4437|33_cluster_SspCNQ509-1695-Item40-PCP_0,58_cluster_WAC06738cluster004|67b8a2|958-1026|7811|58_cluster_WAC06738cluster004-3024-Item37-PCP_0
496:92,TTD,-1,92@-nan;-1,TLFD,-1,84@-nan;84,S,'65',82@-nan:65_cluster_SspCNT371.cluster001|25c062|959-1028|8824|65_cluster_SspCNT371.cluster001-3385-Item40-PCP_0,495
495:84,S,'65',82@-nan;82,S,'66','64'@-nan:66_cluster_SspCNY243.cluster001|fe4486|959-1028|8983|66_cluster_SspCNY243.cluster001-3439-Item40-PCP_0,494
494:82,S,'66','64'@-nan;'64',T,'63','64'@-nan:63_cluster_SspCNQ525.cluster001|286c95|959-1028|8523|63_cluster_SspCNQ525.cluster001-3273-Item40-PCP_0,64_cluster_SspCNQ865.cluster001|c6a231|959-1028|8632|64_cluster_SspCNQ865.cluster001-3329-Item40-PCP_0
488:92,T,'13',92@inf;'13',T,'42','13'@-nan:42_cluster_WAC00631|01badb|967-1035|5491|42_cluster_WAC00631-2043-Item32-PCP_0,487
487:'13',T,'42','13'@-nan;'13',T,'13',66@-nan:13_cluster_AspOK074cluster1|2f3ccd|2515-2583|1756|13_cluster_AspOK074cluster1-691-Item37-PCP_0,486
486:'13',T,'13',66@-nan;66,S,'50','35'@-nan:50_cluster_WAC01529|b2e10b|2535-2603|6721|50_cluster_WAC01529-2568-Item38-PCP_0,485
