868:93,S,92,79@0.98:376,867
867:93,S,92,79@0.98;79,S,'42',77@1:419,866
606:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|941-1117|4364|33_cluster_SspCNQ509-1691-Item5-Cond-Item6-A_nrp_Fill_0,58_cluster_WAC06738cluster004|1bd006|950-1125|7828|58_cluster_WAC06738cluster004-3020-Item3-Cond-Item4-A_nrp_Fill_0
601:70,T,70,92@0.63;70,T,92,70@0.63:591,600
600:70,T,92,70@0.63;70,S,69,66@0.63:594,599
599:70,S,69,66@0.63;66,T,'13',66@0.63:13_cluster_AspOK074cluster1|2f3ccd|1845-2032|1753|13_cluster_AspOK074cluster1-691-Item35-Cond-Item36-A_nrp_Fill_0,598
598:66,T,'13',66@0.63;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1837-2025|4652|35_cluster_SspNRRLS1521-1-1760-Item15-Cond-Item16-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|1846-2034|6718|50_cluster_WAC01529-2568-Item36-Cond-Item37-A_nrp_Fill_0
594:70,S,69,66@0.63;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1838-2024|4150|31_cluster_SluteocolorNRBC13826-1611-Item40-Cond-Item41-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1838-2024|4277|32_cluster_Ssilaceus-1-1656-Item9-Cond-Item10-A_nrp_Fill_0
591:70,T,92,70@0.63;92,SL,'62',90@0.25;90,S,86,89@0.44:585,590
590:90,S,86,89@0.44;89,T,'62',89@0.53:62_cluster_SspCNQ329.cluster001|288edd|2138-2323|8362|62_cluster_SspCNQ329.cluster001-3213-Item8-Cond-Item9-A_no_call_Fill_0,589
589:89,T,'62',89@0.53;89,S,'33','58'@1:33_cluster_SspCNQ509|c57782|1994-2185|4370|33_cluster_SspCNQ509-1691-Item8-Cond-Item9-A_val_Fill_0,58_cluster_WAC06738cluster004|1bd006|1999-2187|7834|58_cluster_WAC06738cluster004-3020-Item6-Cond-Item7-A_val_Fill_0
585:90,S,86,89@0.44;86,SL,'63',84@0.34;84,S,'65',82@0.66:65_cluster_SspCNT371.cluster001|e00a01|2132-2317|8758|65_cluster_SspCNT371.cluster001-3381-Item8-Cond-Item9-A_no_call_Fill_0,584
584:84,S,'65',82@0.66;82,T,'63',82@0.66:63_cluster_SspCNQ525.cluster001|47a90b|2129-2314|8457|63_cluster_SspCNQ525.cluster001-3269-Item8-Cond-Item9-A_no_call_Fill_0,583
583:82,T,'63',82@0.66;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1efe89|2132-2317|8661|64_cluster_SspCNQ865.cluster001-3325-Item8-Cond-Item9-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|26108b|2078-2263|8917|66_cluster_SspCNY243.cluster001-3435-Item8-Cond-Item9-A_no_call_Fill_0
578:71,T,107,71@1;107,D,107,107@0.5:574,577
577:107,D,107,107@0.5;107,SL,'12','56'@0.17;'56',D,'56','56'@0.67:56_cluster_WAC06369|e01984|337-522|7559|56_cluster_WAC06369-2951-Item24-Cond-Item25-A_nrp_Fill_0,56_cluster_WAC06369|394215|305-568|7572|56_cluster_WAC06369-2952-Item30-Cond-Item31-A_nrp_Fill_0
574:107,D,107,107@0.5;107,D,107,107@0.5:570,573
573:107,D,107,107@0.5;107,S,'12','56'@0.5:12_cluster_ArifDSM43936-3|b905de|3478-3739|1605|12_cluster_ArifDSM43936-1-659-Item10-Cond-Item11-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|3454-3715|7538|56_cluster_WAC06369-2950-Item14-Cond-Item15-A_nrp_Fill_0
570:107,D,107,107@0.5;107,S,'12','56'@0.5:12_cluster_ArifDSM43936-2|ff535b|306-569|1562|12_cluster_ArifDSM43936-1-658-Item11-Cond-Item12-A_nrp_Fill_0,56_cluster_WAC06369|6e6f2f|306-569|7595|56_cluster_WAC06369-2953-Item41-Cond-Item42-A_nrp_Fill_0
567:71,T,107,71@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|4977-5153|1613|12_cluster_ArifDSM43936-1-659-Item14-Cond-Item15-A_tyr_Fill_0,56_cluster_WAC06369|3856d8|4953-5129|7546|56_cluster_WAC06369-2950-Item18-Cond-Item19-A_tyr_Fill_0
564:71,T,107,71@1;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|1143-1317|1591|12_cluster_ArifDSM43936-1-659-Item3-Cond-Item4-A_nrp_Fill_0,56_cluster_WAC06369|3856d8|1119-1293|7524|56_cluster_WAC06369-2950-Item7-Cond-Item8-A_nrp_Fill_0
561:73,S,'47',71@1;'47',T,'47',39@0.31:543,560
560:'47',T,'47',39@0.31;39,T,35,39@0.15:556,559
559:39,T,35,39@0.15;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|2381-2563|2387|18_cluster_Chloroeremomycin-1-960-Item7-Cond-Item8-A_asn_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|2381-2563|3447|26_cluster_KaridNRRLB16535chlor-1354-Item7-Cond-Item8-A_asn_Fill_0
556:39,T,35,39@0.15;35,T,35,'11'@0.15:546,555
555:35,T,35,'11'@0.15;'11',T,'11','03'@0.23:11_cluster_AregGY080|d0f836|2384-2562|1470|11_cluster_AregGY080-601-Item7-Cond-Item8-A_asn_Fill_0,554
554:'11',T,'11','03'@0.23;'03',T,'03',9@0.23:03_cluster_AalbaDSM44262|b89e0c|2362-2540|356|03_cluster_AalbaDSM44262-95-Item7-Cond-Item8-A_asn_Fill_0,553
553:'03',T,'03',9@0.23;9,T,'09',9@0.46:09_cluster_AOHO0100074|5a50ae|2378-2556|1216|09_cluster_AOHO0100074-461-Item7-Cond-Item8-A_asn_Fill_0,552
552:9,T,'09',9@0.46;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|2379-2557|5207|40_cluster_Vancomycin-1955-Item7-Cond-Item8-A_asn_Fill_0,51_cluster_WAC4169cluster051|ba280c|2381-2559|6827|51_cluster_WAC4169cluster051-2640-Item26-Cond-Item25-A_asn_Fill_0
546:35,T,35,'11'@0.15;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|2382-2562|617|05_cluster_AbalhimycinaFH1894-230-Item7-Cond-Item8-A_asn_Fill_0,14_cluster_Balhimycin|c600a7|2382-2562|1887|14_cluster_Balhimycin-708-Item7-Cond-Item8-A_asn_Fill_0
543:'47',T,'47',39@0.31;'47',T,'29','47'@1:29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0,47_cluster_WAC1420|6cb684|2399-2580|6269|47_cluster_WAC1420-2415-Item7-Cond-Item8-A_leu_Fill_0
540:77,S,76,73@1;76,T,45,76@1:478,539
539:76,T,45,76@1;76,T,76,45@1:71_cluster_Kistamicin|8e9844|302-480|9792|71_cluster_Kistamicin-3712-Item11-Cond-Item12-A_no_call_Fill_0,538
538:76,T,76,45@1;45,S,'10',43@1:10_cluster_ArectNRRLB16090|9ee539|300-464|1313|10_cluster_ArectNRRLB16090-520-Item8-Cond-Item9-A_hpg_Fill_0,537
537:45,S,'10',43@1;43,S,'39','60'@1:39_cluster_UK68597|e5e4cd|304-481|5113|39_cluster_UK68597-1912-Item13-Cond-Item14-A_hpg_Fill_0,536
536:43,S,'39','60'@1;'60',T,'60','02'@0.21:60_cluster_AsubtropicusNRRLB24665|294514|302-480|8072|60_cluster_AsubtropicusNRRLB24665-3100-Item13-Cond-Item14-A_hpg_Fill_0,535
535:'60',T,'60','02'@0.21;'02',T,'29','02'@0.026:525,534
534:'02',T,'29','02'@0.026;'02',T,'02','48'@0.23:02_cluster_A47934|3c365b|303-479|164|02_cluster_A47934-65-Item16-Cond-Item17-A_hpg_Fill_0,533
533:'02',T,'02','48'@0.23;'48',T,'48','04'@0.24:48_cluster_WAC1424cluster109|2a4bff|302-480|6329|48_cluster_WAC1424cluster109-2483-Item19-Cond-Item18-A_hpg_Fill_0,532
532:'48',T,'48','04'@0.24;'04',T,'04','28'@0.25:04_cluster_AazureaDSM43854|40c465|352-529|490|04_cluster_AazureaDSM43854-159-Item11-Cond-Item12-A_hpg_Fill_0,531
531:'04',T,'04','28'@0.25;'28',T,'01','28'@0.5:01_cluster_A40926|2105e4|302-480|60|01_cluster_A40926-23-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,28_cluster_NcoxDSM45129|26d899|303-480|3730|28_cluster_NcoxDSM45129-1495-Item15-Cond-Item16-A_hpg_Fill_0
525:'02',T,'29','02'@0.026;'29',T,25,'29'@0.22:501,524
524:'29',T,25,'29'@0.22;'29',T,'29',11@0.16:504,523
523:'29',T,'29',11@0.16;11,T,11,35@0.25:515,522
522:11,T,11,35@0.25;35,T,35,39@0.5:518,521
521:35,T,35,39@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|302-480|2396|18_cluster_Chloroeremomycin-1-961-Item11-Cond-Item12-A_hpg_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|302-480|3456|26_cluster_KaridNRRLB16535chlor-1355-Item11-Cond-Item12-A_hpg_Fill_0
518:35,T,35,39@0.5;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|302-480|626|05_cluster_AbalhimycinaFH1894-231-Item11-Cond-Item12-A_hpg_Fill_0,14_cluster_Balhimycin|69cf6a|302-480|1839|14_cluster_Balhimycin-709-Item11-Cond-Item12-A_hpg_Fill_0
515:11,T,11,35@0.25;11,S,'07',9@0.99:07_cluster_AkerFH1893nogabecin|5b689a|302-477|896|07_cluster_AkerFH1893nogabecin-340-Item12-Cond-Item13-A_hpg_Fill_0,514
514:11,S,'07',9@0.99;9,T,'11',9@0.99:11_cluster_AregGY080|ac6242|302-480|1496|11_cluster_AregGY080-602-Item12-Cond-Item13-A_hpg_Fill_0,513
513:9,T,'11',9@0.99;9,T,'03',9@0.99:03_cluster_AalbaDSM44262|311e81|302-480|288|03_cluster_AalbaDSM44262-96-Item12-Cond-Item13-A_hpg_Fill_0,512
512:9,T,'03',9@0.99;9,T,'09',9@0.99:09_cluster_AOHO0100074|ca1b25|302-480|1181|09_cluster_AOHO0100074-462-Item11-Cond-Item12-A_hpg|hpg2cl_Fill_0,511
511:9,T,'09',9@0.99;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|303-480|5215|40_cluster_Vancomycin-1956-Item11-Cond-Item12-A_hpg_Fill_0,51_cluster_WAC4169cluster051|66fb6a|303-480|6863|51_cluster_WAC4169cluster051-2638-Item22-Cond-Item21-A_hpg_Fill_0
504:'29',T,'29',11@0.16;'29',T,'29','47'@0.56:29_cluster_pekiskomycin|61ac15|302-480|3824|29_cluster_pekiskomycin-1529-Item11-Cond-Item12-A_hpg|hpg2cl_Fill_0,47_cluster_WAC1420|713508|302-479|6209|47_cluster_WAC1420-2418-Item11-Cond-Item12-A_tyr_Fill_0
501:'29',T,25,'29'@0.22;25,S,23,'45'@0.97:485,500
500:25,S,23,'45'@0.97;'45',T,'45','52'@0.49:45_cluster_WAC1376cluster143|89a266|298-470|5896|45_cluster_WAC1376cluster143-2261-Item21-Cond-Item20-A_hpg_Fill_0,499
499:'45',T,'45','52'@0.49;'52',T,'52',6@0.24:52_cluster_WAC4182cluster089|6721ad|296-470|6991|52_cluster_WAC4182cluster089-2741-Item22-Cond-Item21-A_hpg_Fill_0,498
498:'52',T,'52',6@0.24;6,T,'08',6@0.26:490,497
497:6,T,'08',6@0.26;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|298-470|774|06_cluster_Ajap-Ristocetin-286-Item12-Cond-Item13-A_hpg_Fill_0,496
496:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|298-470|7176|53_cluster_WAC4197cluster073-2789-Item11-Cond-Item12-A_hpg_Fill_0,495
495:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|298-470|3297|25_cluster_JPLW01000007-1283-Item12-Cond-Item13-A_hpg_Fill_0,27_cluster_KF882511-Ristocetin|f68926|298-470|3601|27_cluster_KF882511-Ristocetin-1416-Item12-Cond-Item13-A_hpg_Fill_0
490:6,T,'08',6@0.26;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|b5adf0|298-470|1044|08_cluster_AlurRistocetin-429-Item22-Cond-Item21-A_hpg_Fill_0,55_cluster_WAC05977|7779c3|298-470|7427|55_cluster_WAC05977-2904-Item11-Cond-Item12-A_hpg_Fill_0
485:25,S,23,'45'@0.97;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|298-474|5676|44_cluster_WAC1375-2129-Item11-Cond-Item12-A_hpg_Fill_0,46_cluster_WAC1416cluster068|d6e140|298-474|6087|46_cluster_WAC1416cluster068-2306-Item11-Cond-Item12-A_hpg_Fill_0
71_cluster_Kistamicin|8e9844|302-480|9792|71_cluster_Kistamicin-3712-Item11-Cond-Item12-A_no_call_Fill_0:76,T,76,45@1;76,TL,76,'71'@1
478:76,T,45,76@1;45,S,'10',43@1:10_cluster_ArectNRRLB16090|35a3e5|312-491|1338|10_cluster_ArectNRRLB16090-521-Item20-Cond-Item21-A_dhpg_Fill_0,477
477:45,S,'10',43@1;43,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|46c496|312-491|8097|60_cluster_AsubtropicusNRRLB24665-3101-Item25-Cond-Item26-A_dhpg_Fill_0,476
476:43,S,'60','39'@1;'39',T,'39','48'@0.32:39_cluster_UK68597|13b231|312-491|5138|39_cluster_UK68597-1913-Item25-Cond-Item26-A_dpg_Fill_0,475
475:'39',T,'39','48'@0.32;'48',T,'48','02'@0.16:48_cluster_WAC1424cluster109|1e552c|286-465|6313|48_cluster_WAC1424cluster109-2482-Item8-Cond-Item7-A_dhpg_Fill_0,474
474:'48',T,'48','02'@0.16;'02',T,'02','01'@0.08:02_cluster_A47934|f1a9cd|321-500|189|02_cluster_A47934-66-Item28-Cond-Item29-A_dpg_Fill_0,473
473:'02',T,'02','01'@0.08;'01',T,'01',11@0.14:427,472
472:'01',T,'01',11@0.14;11,T,'29',11@0.21:430,471
471:11,T,'29',11@0.21;11,S,9,'07'@1:449,470
470:11,S,9,'07'@1;'07',T,'07',23@0.5:07_cluster_AkerFH1893nogabecin|007425|312-491|921|07_cluster_AkerFH1893nogabecin-341-Item24-Cond-Item25-A_dhpg_Fill_0,469
469:'07',T,'07',23@0.5;23,T,23,'08'@0.25:455,468
468:23,T,23,'08'@0.25;'08',T,'08',2@0.25:08_cluster_AlurRistocetin|0f4616|341-519|1026|08_cluster_AlurRistocetin-428-Item10-Cond-Item9-A_dpg_Fill_0,467
467:'08',T,'08',2@0.25;2,T,'52',2@0.5:52_cluster_WAC4182cluster089|e7dbb3|312-490|7021|52_cluster_WAC4182cluster089-2740-Item10-Cond-Item9-A_dhpg_Fill_0,466
466:2,T,'52',2@0.5;2,S,'25','27'@1:462,465
465:2,S,'25','27'@1;'27',T,'27','55'@1:27_cluster_KF882511-Ristocetin|e66a00|312-490|3626|27_cluster_KF882511-Ristocetin-1417-Item24-Cond-Item25-A_dpg_Fill_0,55_cluster_WAC05977|27f9dd|312-490|7452|55_cluster_WAC05977-2905-Item23-Cond-Item24-A_dhpg_Fill_0
462:2,S,'25','27'@1;'25',T,'25','06'@0.5:25_cluster_JPLW01000007|e66a00|312-490|3322|25_cluster_JPLW01000007-1284-Item24-Cond-Item25-A_dpg_Fill_0,461
461:'25',T,'25','06'@0.5;'06',T,'06','53'@0.5:06_cluster_Ajap-Ristocetin|41a04d|312-490|722|06_cluster_Ajap-Ristocetin-288-Item24-Cond-Item25-A_dpg_Fill_0,53_cluster_WAC4197cluster073|45ffd8|312-490|7201|53_cluster_WAC4197cluster073-2790-Item23-Cond-Item24-A_dhpg_Fill_0
455:23,T,23,'08'@0.25;23,S,'44','46'@1:44_cluster_WAC1375|26826b|312-490|5701|44_cluster_WAC1375-2130-Item23-Cond-Item24-A_dpg_Fill_0,454
454:23,S,'44','46'@1;'46',T,'46','45'@1:46_cluster_WAC1416cluster068|d7004d|286-464|6109|46_cluster_WAC1416cluster068-2307-Item22-Cond-Item23-A_dhpg_Fill_0,45_cluster_WAC1376cluster143|2f68bd|286-464|5875|45_cluster_WAC1376cluster143-2259-Item10-Cond-Item9-A_dhpg_Fill_0
449:11,S,9,'07'@1;9,T,9,39@0.5:437,448
448:9,T,9,39@0.5;39,T,39,35@0.25:440,447
447:39,T,39,35@0.25;35,T,35,'04'@0.25:443,446
446:35,T,35,'04'@0.25;'04',T,'11','04'@0.5:11_cluster_AregGY080|643e69|312-491|1484|11_cluster_AregGY080-603-Item24-Cond-Item25-A_dhpg_Fill_0,04_cluster_AazureaDSM43854|7a2c10|312-491|437|04_cluster_AazureaDSM43854-160-Item23-Cond-Item24-A_dhpg_Fill_0
443:35,T,35,'04'@0.25;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|d4f558|312-491|651|05_cluster_AbalhimycinaFH1894-232-Item23-Cond-Item24-A_dhpg_Fill_0,14_cluster_Balhimycin|638910|312-491|1864|14_cluster_Balhimycin-710-Item23-Cond-Item24-A_dpg_Fill_0
440:39,T,39,35@0.25;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|1dfbcd|321-500|2421|18_cluster_Chloroeremomycin-1-962-Item23-Cond-Item24-A_dpg_Fill_0,26_cluster_KaridNRRLB16535chlor|661409|312-491|3481|26_cluster_KaridNRRLB16535chlor-1356-Item23-Cond-Item24-A_dhpg_Fill_0
437:9,T,9,39@0.5;9,T,'03',9@1:03_cluster_AalbaDSM44262|3f5634|310-489|313|03_cluster_AalbaDSM44262-97-Item24-Cond-Item25-A_dhpg_Fill_0,436
436:9,T,'03',9@1;9,T,'09',9@1:09_cluster_AOHO0100074|586f66|320-499|1152|09_cluster_AOHO0100074-463-Item23-Cond-Item24-A_dpg_Fill_0,435
435:9,T,'09',9@1;9,S,'40','51'@1:40_cluster_Vancomycin|0a9770|320-499|5240|40_cluster_Vancomycin-1957-Item23-Cond-Item24-A_dpg_Fill_0,51_cluster_WAC4169cluster051|0dd5c9|320-499|6851|51_cluster_WAC4169cluster051-2637-Item10-Cond-Item9-A_dhpg_Fill_0
430:11,T,'29',11@0.21;'29',T,'29','47'@0.51:29_cluster_pekiskomycin|3b5b44|321-500|3849|29_cluster_pekiskomycin-1530-Item23-Cond-Item24-A_dpg_Fill_0,47_cluster_WAC1420|f1adce|321-500|6234|47_cluster_WAC1420-2419-Item23-Cond-Item24-A_dpg_Fill_0
427:'01',T,'01',11@0.14;'01',T,'01','28'@0.58:01_cluster_A40926|6a1658|312-492|85|01_cluster_A40926-24-Item27-Cond-Item28-A_dpg_Fill_0,28_cluster_NcoxDSM45129|80f814|312-492|3686|28_cluster_NcoxDSM45129-1496-Item27-Cond-Item28-A_dhpg_Fill_0
419:79,S,'42',77@1;'42',T,70,'42'@1:401,418
418:'42',T,70,'42'@1;'42',T,53,'42'@1:406,417
417:'42',T,53,'42'@1;'42',T,76,'42'@1:413,416
416:'42',T,76,'42'@1;'42',D,'42','42'@1:42_cluster_WAC00631|19b4d7|312-490|5446|42_cluster_WAC00631-2041-Item10-Cond-Item11-A_hpg_Fill_0,42_cluster_WAC00631|c8684d|305-482|5459|42_cluster_WAC00631-2042-Item16-Cond-Item17-A_hpg_Fill_0
413:'42',T,76,'42'@1;76,D,76,76@1:409,412
412:76,D,76,76@1;76,S,'57','59'@1:57_cluster_WAC06725|451761|305-482|7709|57_cluster_WAC06725-2978-Item16-Cond-Item17-A_hpg|hpg2cl_Fill_0,59_cluster_WAC06783|42685d|305-482|7957|59_cluster_WAC06783-3059-Item16-Cond-Item17-A_hpg_Fill_0
409:76,D,76,76@1;76,S,'57','59'@1:57_cluster_WAC06725|20c8cf|287-464|7696|57_cluster_WAC06725-2977-Item10-Cond-Item11-A_hpg|hpg2cl_Fill_0,59_cluster_WAC06783|108337|317-494|7944|59_cluster_WAC06783-3058-Item10-Cond-Item11-A_hpg_Fill_0
406:'42',T,53,'42'@1;53,S,'61',51@1:61_cluster_FNTE|83000e|305-482|8183|61_cluster_FNTE-3137-Item14-Cond-Item15-A_hpg|hpg2cl_Fill_0,405
405:53,S,'61',51@1;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|305-482|5558|43_cluster_WAC01325-2080-Item14-Cond-Item15-A_hpg_Fill_0,54_cluster_WAC05379-3|ba39af|312-489|7263|54_cluster_WAC05379-1-2851-Item3-Cond-Item4-A_hpg|hpg2cl_Fill_0
401:'42',T,70,'42'@1;70,S,66,69@1:379,400
400:70,S,66,69@1;69,T,92,69@1:392,399
399:69,T,92,69@1;69,T,69,'13'@0.5:395,398
398:69,T,69,'13'@0.5;'13',T,'50','13'@0.5:50_cluster_WAC01529|9b5162|327-505|6683|50_cluster_WAC01529-2567-Item19-Cond-Item20-A_hpg_Fill_0,13_cluster_AspOK074cluster1|ff28ca|305-486|1709|13_cluster_AspOK074cluster1-690-Item18-Cond-Item19-A_hpg_Fill_0
395:69,T,69,'13'@0.5;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|dfb632|305-483|4112|31_cluster_SluteocolorNRBC13826-1610-Item23-Cond-Item24-A_hpg_Fill_0,32_cluster_Ssilaceus-2|cb43ed|305-483|4243|32_cluster_Ssilaceus-1-1654-Item6-Cond-Item7-A_hpg_Fill_0
392:69,T,92,69@1;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|f73c1e|305-482|8301|62_cluster_SspCNQ329.cluster001-3216-Item22-Cond-Item23-A_no_call_Fill_0,391
391:92,S,'62',90@1;90,S,89,86@1:383,390
390:90,S,89,86@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|4ed3e5|305-482|8492|63_cluster_SspCNQ525.cluster001-3272-Item24-Cond-Item25-A_hpg|hpg2cl_Fill_0,389
389:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|f326c5|305-482|8793|65_cluster_SspCNT371.cluster001-3384-Item24-Cond-Item25-A_hpg|hpg2cl_Fill_0,388
388:84,S,'65',82@1;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|305-482|8601|64_cluster_SspCNQ865.cluster001-3328-Item24-Cond-Item25-A_hpg|hpg2cl_Fill_0,66_cluster_SspCNY243.cluster001|731b10|305-482|8952|66_cluster_SspCNY243.cluster001-3438-Item24-Cond-Item25-A_hpg|hpg2cl_Fill_0
383:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|305-482|4405|33_cluster_SspCNQ509-1694-Item24-Cond-Item25-A_hpg_Fill_0,58_cluster_WAC06738cluster004|d9a549|305-482|7866|58_cluster_WAC06738cluster004-3023-Item21-Cond-Item22-A_hpg_Fill_0
379:70,S,66,69@1;66,S,'35','50'@0.5:31_cluster_SluteocolorNRBC13826|a43e36|297-474|4099|31_cluster_SluteocolorNRBC13826-1609-Item17-Cond-Item18-A_hpg_Fill_0,50_cluster_WAC01529|876399|315-492|6670|50_cluster_WAC01529-2566-Item13-Cond-Item14-A_hpg_Fill_0
31_cluster_SluteocolorNRBC13826|a43e36|297-474|4099|31_cluster_SluteocolorNRBC13826-1609-Item17-Cond-Item18-A_hpg_Fill_0:66,S,'35','50'@0.5;'35',TL,'35','31'@0.5
376:93,S,92,79@0.98;92,T,77,92@0.9:130,375
375:92,T,77,92@0.9;92,T,98,92@0.25:323,374
374:92,T,98,92@0.25;92,T,66,92@0.99:332,373
373:92,T,66,92@0.99;92,D,92,92@1:345,372
372:92,D,92,92@1;92,S,90,'62'@1:358,371
371:92,S,90,'62'@1;'62',T,89,'62'@1:361,370
370:'62',T,89,'62'@1;'62',T,'62',84@1:62_cluster_SspCNQ329.cluster001|d9cd3f|310-487|8382|62_cluster_SspCNQ329.cluster001-3215-Item17-Cond-Item18-A_no_call_Fill_0,369
369:'62',T,'62',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|f326c5|1848-2025|8801|65_cluster_SspCNT371.cluster001-3384-Item28-Cond-Item29-A_no_call_Fill_0,368
368:84,S,'65',82@1;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|3b57c3|310-487|8939|66_cluster_SspCNY243.cluster001-3437-Item18-Cond-Item19-A_no_call_Fill_0,367
367:82,S,'66','64'@1;'64',T,'63','64'@1:63_cluster_SspCNQ525.cluster001|4ed3e5|1848-2025|8500|63_cluster_SspCNQ525.cluster001-3272-Item28-Cond-Item29-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|180773|1847-2024|8609|64_cluster_SspCNQ865.cluster001-3328-Item28-Cond-Item29-A_no_call_Fill_0
361:'62',T,89,'62'@1;89,S,'33','58'@1:33_cluster_SspCNQ509|68d264|310-487|4392|33_cluster_SspCNQ509-1693-Item18-Cond-Item19-A_nrp_Fill_0,58_cluster_WAC06738cluster004|bcc467|310-487|7853|58_cluster_WAC06738cluster004-3022-Item15-Cond-Item16-A_nrp_Fill_0
358:92,S,90,'62'@1;90,S,89,86@1:350,357
357:90,S,89,86@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|a73d35|310-491|8479|63_cluster_SspCNQ525.cluster001-3271-Item18-Cond-Item19-A_no_call_Fill_0,356
356:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|830555|310-491|8780|65_cluster_SspCNT371.cluster001-3383-Item18-Cond-Item19-A_no_call_Fill_0,355
355:84,S,'65',82@1;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1b0239|310-491|8683|64_cluster_SspCNQ865.cluster001-3327-Item18-Cond-Item19-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|731b10|1852-2033|8960|66_cluster_SspCNY243.cluster001-3438-Item28-Cond-Item29-A_no_call_Fill_0
350:90,S,89,86@1;89,T,'62',89@1:62_cluster_SspCNQ329.cluster001|f73c1e|1841-2022|8309|62_cluster_SspCNQ329.cluster001-3216-Item26-Cond-Item27-A_no_call_Fill_0,349
349:89,T,'62',89@1;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1840-2021|4413|33_cluster_SspCNQ509-1694-Item28-Cond-Item29-A_nrp_Fill_0,58_cluster_WAC06738cluster004|d9a549|1840-2021|7874|58_cluster_WAC06738cluster004-3023-Item25-Cond-Item26-A_nrp_Fill_0
345:92,D,92,92@1;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|7c2c30|305-485|8330|62_cluster_SspCNQ329.cluster001-3217-Item36-Cond-Item37-A_no_call_Fill_0,344
344:92,S,'62',90@1;90,S,89,86@1:336,343
343:90,S,89,86@1;86,S,84,'63'@0.12:66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0,342
342:86,S,84,'63'@0.12;'63',T,'65','63'@0.25:65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0,341
341:'63',T,'65','63'@0.25;'63',T,'63','64'@0.38:63_cluster_SspCNQ525.cluster001|286c95|305-485|8520|63_cluster_SspCNQ525.cluster001-3273-Item38-Cond-Item39-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|c6a231|305-485|8629|64_cluster_SspCNQ865.cluster001-3329-Item38-Cond-Item39-A_no_call_Fill_0
66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0:86,S,84,'63'@0.12;84,SL,'65',82@0.12;82,SL,'64','66'@0.38
